group2,method,p,padjFDR,pAsterisk,padjFDRAsterisk
R2828,Wilcoxon,0.0013669344889555,0.00273386897791101,**,**
R780,Wilcoxon,0.00534289253338702,0.00712385671118269,**,**
R1801,Wilcoxon,0.0133487404716342,0.0152557033961533,*,*
PositiveSynCom,Wilcoxon,0.00379659345139218,0.00607454952222749,**,**
R2567,Wilcoxon,9.90462902083277e-06,7.92370321666622e-05,***,***
R1405,Wilcoxon,0.00026534324815094,0.00106137299260376,***,**
R2488,Wilcoxon,0.0195209130784216,0.0195209130784216,*,*
NegativeSynCom,Wilcoxon,0.000929362853497946,0.00247830094266119,***,**
