GroupID,GrowthTime,N,TillerNumber,sd,se,ci,asterisk,padjmethod
Positive10FoldSynCom,11,22,1.27272727272727,0.455842305838552,0.0971859061499725,0.202109155941888,*,padjFDRAsterisk
Positive10FoldSynCom,16,22,2.09090909090909,0.29424494316825,0.0627332326674867,0.130460899179828,,padjFDRAsterisk
Positive10FoldSynCom,21,22,3.27272727272727,0.455842305838552,0.0971859061499725,0.202109155941888,,padjFDRAsterisk
Positive10FoldSynCom,26,22,5.09090909090909,0.29424494316825,0.0627332326674867,0.130460899179828,**,padjFDRAsterisk
Positive10FoldSynCom,31,22,5.22727272727273,0.428932027228889,0.0914486154730632,0.19017780681896,,padjFDRAsterisk
Positive10FoldSynCom,36,22,5.81818181818182,0.795006057860336,0.169495861042874,0.352485939248799,*,padjFDRAsterisk
Positive10FoldSynCom,42,22,5.95454545454545,0.722249971716872,0.153984211357856,0.320227697809271,**,padjFDRAsterisk
Positive10FoldSynCom,47,22,6,0.755928946018454,0.161164592805076,0.335160118477335,**,padjFDRAsterisk
Positive3FoldSynCom,11,24,1.33333333333333,0.481543412343077,0.0982946374365981,0.2033379497966,*,padjFDRAsterisk
Positive3FoldSynCom,16,24,2.20833333333333,0.414851116999053,0.0846811296559438,0.17517626332165,,padjFDRAsterisk
Positive3FoldSynCom,21,24,3.375,0.49453535504684,0.100946606635906,0.208823966063345,,padjFDRAsterisk
Positive3FoldSynCom,26,24,4.875,0.448427203146441,0.0915348195410129,0.189354201061851,,padjFDRAsterisk
Positive3FoldSynCom,31,24,5.16666666666667,0.481543412343077,0.0982946374365981,0.2033379497966,,padjFDRAsterisk
Positive3FoldSynCom,36,24,5.5,0.589767824619589,0.120385853085769,0.249037111172666,,padjFDRAsterisk
Positive3FoldSynCom,42,24,5.625,0.575779245136914,0.117530446255859,0.24313025210313,*,padjFDRAsterisk
Positive3FoldSynCom,47,24,5.625,0.575779245136914,0.117530446255859,0.24313025210313,*,padjFDRAsterisk
EqualAmountSynCom,11,22,1,0,0,0,NA,padjFDRAsterisk
EqualAmountSynCom,16,22,2,0,0,0,NA,padjFDRAsterisk
EqualAmountSynCom,21,22,3.13636363636364,0.560225681179303,0.119440516548237,0.24839015183514,NA,padjFDRAsterisk
EqualAmountSynCom,26,22,4.59090909090909,0.503236279740196,0.107290335336742,0.223122466771765,NA,padjFDRAsterisk
EqualAmountSynCom,31,22,4.95454545454545,0.485727017913082,0.103557348172344,0.21535929498249,NA,padjFDRAsterisk
EqualAmountSynCom,36,22,5.13636363636364,0.639602149066831,0.136363636363636,0.283583706099229,NA,padjFDRAsterisk
EqualAmountSynCom,42,22,5.13636363636364,0.639602149066831,0.136363636363636,0.283583706099229,NA,padjFDRAsterisk
EqualAmountSynCom,47,22,5.13636363636364,0.639602149066831,0.136363636363636,0.283583706099229,NA,padjFDRAsterisk
Negative3FoldSynCom,11,24,0.958333333333333,0.204124145231932,0.0416666666666667,0.0861940671007937,,padjFDRAsterisk
Negative3FoldSynCom,16,24,1.91666666666667,0.28232985128664,0.0576303395673437,0.11921744053702,,padjFDRAsterisk
Negative3FoldSynCom,21,24,2.41666666666667,0.503610155185335,0.102798992457327,0.21265591809026,***,padjFDRAsterisk
Negative3FoldSynCom,26,24,3.91666666666667,0.928611242975073,0.189551976225048,0.392118138187917,*,padjFDRAsterisk
Negative3FoldSynCom,31,24,4.375,0.875388112682647,0.178687850247539,0.369643981303991,*,padjFDRAsterisk
Negative3FoldSynCom,36,24,4.54166666666667,0.883627241233132,0.180369655320363,0.373123060167129,*,padjFDRAsterisk
Negative3FoldSynCom,42,24,4.54166666666667,0.883627241233132,0.180369655320363,0.373123060167129,*,padjFDRAsterisk
Negative3FoldSynCom,47,24,4.54166666666667,0.883627241233132,0.180369655320363,0.373123060167129,*,padjFDRAsterisk
Negative10FoldSynCom,11,24,0.958333333333333,0.204124145231932,0.0416666666666667,0.0861940671007937,,padjFDRAsterisk
Negative10FoldSynCom,16,24,1.91666666666667,0.28232985128664,0.0576303395673437,0.11921744053702,,padjFDRAsterisk
Negative10FoldSynCom,21,24,2.04166666666667,0.204124145231932,0.0416666666666667,0.0861940671007937,***,padjFDRAsterisk
Negative10FoldSynCom,26,24,3.16666666666667,0.637022057270606,0.130031582934249,0.26899082363177,***,padjFDRAsterisk
Negative10FoldSynCom,31,24,4.16666666666667,0.637022057270606,0.130031582934249,0.26899082363177,***,padjFDRAsterisk
Negative10FoldSynCom,36,24,4.375,0.49453535504684,0.100946606635906,0.208823966063345,***,padjFDRAsterisk
Negative10FoldSynCom,42,24,4.375,0.49453535504684,0.100946606635906,0.208823966063345,***,padjFDRAsterisk
Negative10FoldSynCom,47,24,4.41666666666667,0.503610155185335,0.102798992457327,0.21265591809026,**,padjFDRAsterisk
