GroupID,TillerNumber,Z_Score,sd(n-1),GfMean
Mock,4,-1.836357972,0.65800533,5.208333333
Mock,4,-1.836357972,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,5,-0.316613443,0.65800533,5.208333333
Mock,6,1.203131085,0.65800533,5.208333333
Mock,6,1.203131085,0.65800533,5.208333333
Mock,6,1.203131085,0.65800533,5.208333333
Mock,6,1.203131085,0.65800533,5.208333333
Mock,6,1.203131085,0.65800533,5.208333333
Mock,7,2.722875613,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,3,-3.3561025,0.65800533,5.208333333
R1275,3,-3.3561025,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,5,-0.316613443,0.65800533,5.208333333
R1275,2,-4.875847028,0.65800533,5.208333333
R1275,2,-4.875847028,0.65800533,5.208333333
R1275,2,-4.875847028,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,2,-4.875847028,0.65800533,5.208333333
R1275,2,-4.875847028,0.65800533,5.208333333
R1275,2,-4.875847028,0.65800533,5.208333333
R1275,3,-3.3561025,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,3,-3.3561025,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1275,4,-1.836357972,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,4,-1.836357972,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,4,-1.836357972,0.65800533,5.208333333
R1405,3,-3.3561025,0.65800533,5.208333333
R1405,4,-1.836357972,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,4,-1.836357972,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,3,-3.3561025,0.65800533,5.208333333
R1405,3,-3.3561025,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,4,-1.836357972,0.65800533,5.208333333
R1405,3,-3.3561025,0.65800533,5.208333333
R1405,3,-3.3561025,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,4,-1.836357972,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1405,4,-1.836357972,0.65800533,5.208333333
R1405,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,7,2.722875613,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,6,1.203131085,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,6,1.203131085,0.65800533,5.208333333
R1625,6,1.203131085,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,6,1.203131085,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,6,1.203131085,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1625,5,-0.316613443,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,7,2.722875613,0.65800533,5.208333333
R1801,7,2.722875613,0.65800533,5.208333333
R1801,8,4.242620141,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,6,1.203131085,0.65800533,5.208333333
R1801,7,2.722875613,0.65800533,5.208333333
R1801,5,-0.316613443,0.65800533,5.208333333
R1870,4,-1.836357972,0.65800533,5.208333333
R1870,5,-0.316613443,0.65800533,5.208333333
R1870,5,-0.316613443,0.65800533,5.208333333
R1870,5,-0.316613443,0.65800533,5.208333333
R1870,5,-0.316613443,0.65800533,5.208333333
R1870,3,-3.3561025,0.65800533,5.208333333
R1870,3,-3.3561025,0.65800533,5.208333333
R1870,4,-1.836357972,0.65800533,5.208333333
R1870,5,-0.316613443,0.65800533,5.208333333
R1870,4,-1.836357972,0.65800533,5.208333333
R1870,4,-1.836357972,0.65800533,5.208333333
R1870,4,-1.836357972,0.65800533,5.208333333
R1870,3,-3.3561025,0.65800533,5.208333333
R1870,4,-1.836357972,0.65800533,5.208333333
R1870,3,-3.3561025,0.65800533,5.208333333
R1870,5,-0.316613443,0.65800533,5.208333333
R1870,3,-3.3561025,0.65800533,5.208333333
R1870,4,-1.836357972,0.65800533,5.208333333
R1870,2,-4.875847028,0.65800533,5.208333333
R1870,3,-3.3561025,0.65800533,5.208333333
R1870,2,-4.875847028,0.65800533,5.208333333
R1870,5,-0.316613443,0.65800533,5.208333333
R1870,4,-1.836357972,0.65800533,5.208333333
R1870,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,6,1.203131085,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,6,1.203131085,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,6,1.203131085,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,8,4.242620141,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,7,2.722875613,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,7,2.722875613,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,6,1.203131085,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2149,5,-0.316613443,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,6,1.203131085,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,5,-0.316613443,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,5,-0.316613443,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,6,1.203131085,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,6,1.203131085,0.65800533,5.208333333
R2188,8,4.242620141,0.65800533,5.208333333
R2188,8,4.242620141,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,6,1.203131085,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,7,2.722875613,0.65800533,5.208333333
R2188,8,4.242620141,0.65800533,5.208333333
R2188,6,1.203131085,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,4,-1.836357972,0.65800533,5.208333333
R2488,2,-4.875847028,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,4,-1.836357972,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,4,-1.836357972,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,3,-3.3561025,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,3,-3.3561025,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,4,-1.836357972,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,4,-1.836357972,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2488,5,-0.316613443,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,3,-3.3561025,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,3,-3.3561025,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2567,4,-1.836357972,0.65800533,5.208333333
R2567,5,-0.316613443,0.65800533,5.208333333
R2797,6,1.203131085,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,6,1.203131085,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,4,-1.836357972,0.65800533,5.208333333
R2797,6,1.203131085,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,8,4.242620141,0.65800533,5.208333333
R2797,7,2.722875613,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,6,1.203131085,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,4,-1.836357972,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2797,5,-0.316613443,0.65800533,5.208333333
R2828,6,1.203131085,0.65800533,5.208333333
R2828,6,1.203131085,0.65800533,5.208333333
R2828,7,2.722875613,0.65800533,5.208333333
R2828,6,1.203131085,0.65800533,5.208333333
R2828,5,-0.316613443,0.65800533,5.208333333
R2828,5,-0.316613443,0.65800533,5.208333333
R2828,6,1.203131085,0.65800533,5.208333333
R2828,7,2.722875613,0.65800533,5.208333333
R2828,6,1.203131085,0.65800533,5.208333333
R2828,7,2.722875613,0.65800533,5.208333333
R2828,8,4.242620141,0.65800533,5.208333333
R2828,6,1.203131085,0.65800533,5.208333333
R2828,5,-0.316613443,0.65800533,5.208333333
R2828,5,-0.316613443,0.65800533,5.208333333
R2828,5,-0.316613443,0.65800533,5.208333333
R2828,6,1.203131085,0.65800533,5.208333333
R2828,5,-0.316613443,0.65800533,5.208333333
R2828,7,2.722875613,0.65800533,5.208333333
R2828,4,-1.836357972,0.65800533,5.208333333
R2828,7,2.722875613,0.65800533,5.208333333
R2828,6,1.203131085,0.65800533,5.208333333
R2828,7,2.722875613,0.65800533,5.208333333
R2828,5,-0.316613443,0.65800533,5.208333333
R2828,7,2.722875613,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,4,-1.836357972,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,6,1.203131085,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
R3062,6,1.203131085,0.65800533,5.208333333
R3062,5,-0.316613443,0.65800533,5.208333333
