GroupID,N,TillerNumber,sd,se,ci,asterisk,padjmethod
Mock,20,12.55,0.887041208323017,0.198348444065382,0.415148064583305,NA,padjFDRAsterisk
R2567,15,8.66666666666667,2.12692489848831,0.549169647365276,1.17785174907756,***,padjFDRAsterisk
R2488,15,10.7333333333333,3.10452818284763,0.801585730000031,1.71923040292894,*,padjFDRAsterisk
R1405,15,10.5333333333333,1.92230020944651,0.496335779839824,1.06453437333776,**,padjFDRAsterisk
NegativeSynCom,15,9.66666666666667,2.94392028877595,0.760116950066092,1.63028871576244,**,padjFDRAsterisk
R780,15,14.6,2.47270817410501,0.638450505222643,1.36934014449592,**,padjFDRAsterisk
R2828,15,15.6666666666667,3.4364987719369,0.88730016753159,1.90306958750899,**,padjFDRAsterisk
R1801,13,13.7692307692308,1.42325016270543,0.394738572265145,0.860061465615822,*,padjFDRAsterisk
PositiveSynCom,15,15,2.56347977784662,0.661887632529297,1.41960778314627,**,padjFDRAsterisk
