GroupID,TillerNumber11D,TillerNumber16D,TillerNumber21D,TillerNumber26D,TillerNumber31D,TillerNumber36D,TillerNumber42D,TillerNumber47D
Negative10FoldSynCom,1,2,2,4,5,5,5,5
Negative10FoldSynCom,1,2,2,4,5,5,5,5
Negative10FoldSynCom,1,2,2,4,5,5,5,5
Negative10FoldSynCom,1,2,2,4,5,5,5,5
Negative10FoldSynCom,1,2,2,4,5,5,5,5
Negative10FoldSynCom,1,2,2,4,4,4,4,4
Negative10FoldSynCom,1,2,2,2,5,5,5,5
Negative10FoldSynCom,1,2,2,3,4,4,4,4
Negative10FoldSynCom,1,2,2,3,4,4,4,4
Negative10FoldSynCom,1,2,2,3,4,4,4,4
Negative10FoldSynCom,1,2,2,3,4,4,4,4
Negative10FoldSynCom,1,2,2,3,5,5,5,5
Negative10FoldSynCom,1,2,2,3,4,4,4,5
Negative10FoldSynCom,1,2,3,3,3,4,4,4
Negative10FoldSynCom,1,1,2,3,4,4,4,4
Negative10FoldSynCom,1,2,2,3,4,4,4,4
Negative10FoldSynCom,1,2,2,3,4,5,5,5
Negative10FoldSynCom,1,1,2,2,3,4,4,4
Negative10FoldSynCom,1,2,2,3,4,4,4,4
Negative10FoldSynCom,1,2,2,3,4,5,5,5
Negative10FoldSynCom,1,2,2,4,4,4,4,4
Negative10FoldSynCom,0,2,2,3,3,4,4,4
Negative10FoldSynCom,1,2,2,3,4,4,4,4
Negative10FoldSynCom,1,2,2,2,4,4,4,4
Negative3FoldSynCom,1,2,2,5,5,5,5,5
Negative3FoldSynCom,1,2,3,5,5,5,5,5
Negative3FoldSynCom,1,2,2,5,5,5,5,5
Negative3FoldSynCom,1,2,3,4,5,5,5,5
Negative3FoldSynCom,1,2,3,4,5,5,5,5
Negative3FoldSynCom,1,2,3,3,4,4,4,4
Negative3FoldSynCom,1,2,3,5,5,5,5,5
Negative3FoldSynCom,1,2,3,5,5,5,5,5
Negative3FoldSynCom,1,2,3,5,5,5,5,5
Negative3FoldSynCom,1,2,2,5,5,5,5,5
Negative3FoldSynCom,1,2,2,4,4,4,4,4
Negative3FoldSynCom,1,2,2,4,5,5,5,5
Negative3FoldSynCom,1,2,2,4,5,5,5,5
Negative3FoldSynCom,1,1,2,2,2,2,2,2
Negative3FoldSynCom,1,2,2,3,4,5,5,5
Negative3FoldSynCom,1,2,2,4,4,5,5,5
Negative3FoldSynCom,1,2,2,4,5,5,5,5
Negative3FoldSynCom,1,2,2,3,4,4,4,4
Negative3FoldSynCom,1,1,2,2,2,2,2,2
Negative3FoldSynCom,1,2,3,3,4,5,5,5
Negative3FoldSynCom,1,2,3,4,4,4,4,4
