Genus	env	rho	pvalue	r2	slope	intercept	mean	median	FDR	rhotype	sigcolor	OTUID
Paenibacillus	tiller	-0.28721949409703	0.000183669731918067	0.0933287204707106	-2.06529656763904	15.9217770661091	0.852255764171005	0.558924042222662	0.000529646298002774	Negtive	***	Paenibacillus
Geobacter	tiller	0.403753547367411	7.54859966542615e-08	0.115791339471946	7.56030278433552	8.97490123089413	0.686045926820361	0.668724485511969	7.17116968215484e-07	Positive	***	Geobacter
Burkholderia	tiller	-0.364557430126498	1.47983781211673e-06	0.127878735050803	-0.224494143087975	19.3516304312188	23.1187067876813	21.8087780331583	8.03340526577654e-06	Negtive	***	Burkholderia
Geothrix	tiller	0.390663677102113	2.12944933149031e-07	0.154260045853532	11.8919775570526	8.70290051739564	0.459025054330276	0.438370730126468	1.3486512432772e-06	Positive	***	Geothrix
Sideroxydans	tiller	0.443353211037492	2.46533713822066e-09	0.205241154901991	1.48865845742924	9.55270545590556	3.09601620352172	2.77101987386458	4.68414056261925e-08	Positive	***	Sideroxydans
Exiguobacterium	tiller	-0.187697194435011	0.0157706014834381	0.0254782845758091	-0.419953292396645	14.5774654400085	0.990227451293732	0.253864309526558	0.0249701190154437	Negtive	*	Exiguobacterium
Anaeromyxobacter	tiller	0.423706379421457	1.42249406939297e-08	0.182037220993014	0.984341482778872	8.87078791375852	5.37499266303521	4.9307687068414	1.8018258212311e-07	Positive	***	Anaeromyxobacter
Tolumonas	tiller	-0.299614516206147	9.24645404746543e-05	0.0467298884676299	-1.49147972672272	14.9512361347629	0.529420520439669	0.227015800299701	0.000317291734371243	Negtive	***	Tolumonas
Pelomonas	tiller	0.313752003691534	4.06617774224593e-05	0.087790043483033	3.95159888404807	11.6811982905538	0.627699810594473	0.532847477737972	0.000171683060228162	Positive	***	Pelomonas
Pleomorphomonas	tiller	-0.28609838332196	0.000195132846632601	0.0868792579213924	-2.23049891003874	17.0494916999691	1.29472178863464	1.17013538466401	0.000529646298002774	Negtive	***	Pleomorphomonas
Ralstonia	tiller	-0.267598051163625	0.000511199771104925	0.0736718189476122	-0.332732022866167	18.8842853307248	14.1936118093694	13.7083400169829	0.0012140994563742	Negtive	**	Ralstonia
Piscinibacter	tiller	0.392313941473044	1.87304893023404e-07	0.129612023758436	10.2811370726373	11.6224199658223	0.246976202909679	0.194929560254107	1.3486512432772e-06	Positive	***	Piscinibacter
Georgfuchsia	tiller	0.243742043216875	0.00160585262214986	0.0362155998331172	4.90436099532735	12.2085905640226	0.398222235160572	0.347003921144309	0.00305111998208473	Positive	**	Georgfuchsia
