Genus	T1	T2	T3	T4	T5	T6
Burkholderia	26.2912004958248	26.1768353261193	21.8971854780888	17.9849705598773	17.8902167919764	18.3844052266397
Ralstonia	15.8847645870635	15.0554310244658	14.0040205935734	12.8243440722031	12.1632095731544	10.3550952521594
Pleomorphomonas	1.75987315670397	1.45806145370165	1.14430115757547	1.12990340913793	0.757613317473998	0.989096247945344
Exiguobacterium	1.38174284787609	1.27625795303311	0.833295573913405	0.726391013725567	0.169746331888173	0.380581922454972
Paenibacillus	1.61063702325979	0.935313408653019	0.844549873277481	0.481517873325932	0.457234365596238	0.35522157575818
Tolumonas	0.957544407858523	0.643121208629391	0.434450644845963	0.318063556958407	0.274654028295569	0.12457601161632
Anaeromyxobacter	3.93374593178908	4.70636991916791	5.44246096574081	6.24540862844433	8.01186263419846	7.72497093826615
Sideroxydans	1.77309697100563	2.6056572729675	3.4295055554221	3.50937651846392	4.50796433036894	5.62449525096707
Geobacter	0.509354007471464	0.623283755453576	0.751915016300448	0.757362570704095	0.829321318549478	0.846320153499764
Pelomonas	0.55783517607532	0.50792277968423	0.64667401198165	0.86087411113977	0.665237450068198	1.13907863153974
Geothrix	0.339536310172737	0.41349062770908	0.487112832279173	0.483312917052911	0.628988522927791	0.681879221374269
Georgfuchsia	0.324732798984426	0.363599430641773	0.430513572730935	0.468193277746456	0.359142140628026	0.588312441619929
Piscinibacter	0.172970273631786	0.192389724069967	0.245132751543496	0.370012766485178	0.297048489114837	0.522402127518433
