Genus	CAP1	CAP2	tiller	height	wetWeight	Subspecies
A4001	-0.0415318988934417	-0.112748618063269	35.6666666666667	106	234.146666666667	TRJ
A4002	0.113940415048843	-0.0963065585347211	19.3333333333333	76	114.456666666667	IND
A4003	-0.0971287681914399	0.103761302271157	19	74.3333333333333	76.89	TRJ
A4005	-0.0108018129310452	0.0300824784223093	22.3333333333333	78.3333333333333	64.8866666666667	TRJ
A4006	-0.0943362452198289	0.137087727078794	27.3333333333333	62.3333333333333	83.0633333333333	TRJ
A4007	-0.046817728802459	0.0495519816994511	17	65	45.6233333333333	TRJ
A4008	0.0391205534804122	-0.12282938705336	34.6666666666667	83.6666666666667	NA	TRJ
A4009	-0.139204705089091	0.0343927303406164	19	85.6666666666667	96.59	TRJ
A4010	0.0780673184237741	-0.176606466485515	40	92	156.053333333333	IND
B4011	-0.0412007890651386	0.12663590648799	14.6666666666667	79.6666666666667	74.99	TRJ
B4012	-0.0399026922325273	-0.0250049961032838	25	66	86.29	TEJ
B4013	-0.229824661099821	0.0732937869927882	22.3333333333333	73.6666666666667	75.2666666666667	TRJ
B4014	-0.128168709756375	0.0848541087117754	24	71.3333333333333	80.7	IND
B4015	-0.0789514279019468	0.089072389307281	31	72.3333333333333	99.79	TRJ
B4017	0.0886680994654335	-0.167222532155712	19.6666666666667	105.666666666667	108.093333333333	TEJ
B4018	0.144548177359537	-0.0473319198234169	33	81.3333333333333	97.0633333333333	IND
B4019	0.0319560228540302	-0.105047981533411	20	58.6666666666667	49.5766666666667	IND
B4020	-0.174418920695403	-0.204650371708348	25	92.3333333333333	136.633333333333	TEJ
C4021	-0.0729697722447785	-0.13089118889316	18.3333333333333	108	147.32	TEJ
C4022	0.00817143571051989	-0.164968393423535	20	83	109.1	TEJ
C4024	-0.116196064430605	0.112728203420554	27	82	110.213333333333	AUS
C4025	-0.043421846075276	-0.0879100915270229	29.3333333333333	65.3333333333333	86.63	TEJ
C4026	-0.213645630602238	-0.0884648562114849	19.3333333333333	63.6666666666667	47.1033333333333	TRJ
C4027	-0.109589572002607	-0.0991159082870662	23.6666666666667	97.3333333333333	164.293333333333	TEJ
C4029	-0.0831137872674485	0.151707592896679	25	64.6666666666667	64.44	AUS
C4030	-0.109196107162877	0.121132082631434	18.3333333333333	83.6666666666667	65.6433333333333	TRJ
D4031	-0.0799948926566875	0.0693919671069617	18	84.6666666666667	67.18	TRJ
D4033	-0.228486071649298	0.164954196512926	17	83.3333333333333	59.1133333333333	TRJ
D4034	0.103509475522606	-0.0035839417188813	40.3333333333333	60.3333333333333	93.2433333333333	IND
D4035	0.0137741598179083	0.104070620336947	25	67.3333333333333	78.93	TRJ
D4036	0.111101106740071	0.0817366308528288	30	76.6666666666667	96.9833333333333	AUS
D4037	0.21270256584359	-0.0357036237849881	27.6666666666667	78.3333333333333	93.6633333333333	IND
D4039	0.197625590485285	0.141019551638251	23.6666666666667	61	49.9266666666667	AUS
D4040	-0.0120540546373306	-0.0214473050025276	29.3333333333333	79.6666666666667	97.69	IND
E4041	0.0536319543810351	-0.117102379171966	35.3333333333333	104	124.256666666667	IND
E4042	0.0325825965644157	-0.1453873572926	33	88.6666666666667	91.77	TRJ
E4043	0.226004983859051	-0.00450842184653201	35.6666666666667	73	97.5233333333333	IND
E4044	0.0849896656652607	-0.0914073079791683	24.3333333333333	102.333333333333	180.47	IND
E4045	0.189683182753321	-0.0244990328821805	31.3333333333333	70.3333333333333	94.35	IND
E4046	0.10316565579982	-0.0792512204137429	25.6666666666667	92.6666666666667	133.913333333333	AUS
E4047	0.152194359789016	-0.056304833446944	34.3333333333333	95.3333333333333	111.303333333333	IND
E4048	0.0693422069556081	-0.159296031010679	20.6666666666667	51	29.4133333333333	IND
E4050	0.152852757441416	-0.106446743622554	30	110	130.393333333333	IND
F4054	0.0218257383199018	-0.111546274761887	30.6666666666667	88.6666666666667	109.906666666667	IND
F4055	0.0424539612749488	-0.18366612546366	26.6666666666667	99.3333333333333	149.126666666667	IND
F4056	0.23890408255082	0.0377799202075056	33.3333333333333	65.3333333333333	91.3133333333333	IND
F4057	0.167184569693123	0.0358630620286327	30.3333333333333	55.3333333333333	95.97	IND
F4058	-0.17404403747804	0.00255494514962219	17.6666666666667	74.6666666666667	84.9166666666667	TRJ
F4060	-0.00914107467020373	-0.0480489949862647	33.6666666666667	67.6666666666667	111.826666666667	IND
G4061	0.0647394643174596	-0.0179241975507475	27	60	86.93	IND
G4062	-0.000512080511836472	-0.00667500831924898	31	59	74.4133333333333	IND
G4063	0.0703223567071128	0.0738298947706011	15.6666666666667	74.3333333333333	59.16	TRJ
