Genus	richness	shannon_e	chao1	tiller	height	wetWeight	Subspecies
A4003	1114	4.47	1117.7	19	74.3333333333333	76.89	TRJ
A4005	1277	5.38	1280.4	22.3333333333333	78.3333333333333	64.8866666666667	TRJ
A4006	1216	4.69	1218.8	27.3333333333333	62.3333333333333	83.0633333333333	TRJ
A4007	1228	4.91	1231.5	17	65	45.6233333333333	TRJ
A4009	1097	4.31	1100.6	19	85.6666666666667	96.59	TRJ
B4011	1149	4.81	1152.7	14.6666666666667	79.6666666666667	74.99	TRJ
B4012	1030	4.4	1033.5	25	66	86.29	TEJ
B4013	769	3.55	774.1	22.3333333333333	73.6666666666667	75.2666666666667	TRJ
B4014	973	3.9	978.3	24	71.3333333333333	80.7	IND
B4015	1286	5.06	1289.2	31	72.3333333333333	99.79	TRJ
B4018	1267	5.5	1270.3	33	81.3333333333333	97.0633333333333	IND
B4019	1100	4.84	1103.8	20	58.6666666666667	49.5766666666667	IND
C4024	1028	4.51	1031.9	27	82	110.213333333333	AUS
C4025	1147	4.89	1150.2	29.3333333333333	65.3333333333333	86.63	TEJ
C4026	785	3.92	789.4	19.3333333333333	63.6666666666667	47.1033333333333	TRJ
C4029	1237	4.99	1240.2	25	64.6666666666667	64.44	AUS
C4030	1232	5.08	1234.7	18.3333333333333	83.6666666666667	65.6433333333333	TRJ
D4031	1158	4.83	1161	18	84.6666666666667	67.18	TRJ
D4033	1060	4.16	1063.4	17	83.3333333333333	59.1133333333333	TRJ
D4034	1315	5.25	1318.4	40.3333333333333	60.3333333333333	93.2433333333333	IND
D4035	1240	4.98	1244.1	25	67.3333333333333	78.93	TRJ
D4036	1193	4.95	1196.6	30	76.6666666666667	96.9833333333333	AUS
D4037	1234	5.12	1237.9	27.6666666666667	78.3333333333333	93.6633333333333	IND
D4039	1360	5.29	1362.9	23.6666666666667	61	49.9266666666667	AUS
E4043	1232	5.17	1234.8	35.6666666666667	73	97.5233333333333	IND
E4045	1254	5.38	1257.5	31.3333333333333	70.3333333333333	94.35	IND
F4056	1252	5.16	1255.8	33.3333333333333	65.3333333333333	91.3133333333333	IND
G4062	1063	4.55	1067.2	31	59	74.4133333333333	IND
G4063	1283	5.16	1286.1	15.6666666666667	74.3333333333333	59.16	TRJ
G4066	1126	4.81	1128.6	32.3333333333333	85.3333333333333	125.313333333333	IND
G4070	1094	4.48	1098.6	35.6666666666667	71.6666666666667	97.7733333333333	AUS
