Axis	PC1	PC2	group
A4001	0.0352194904402451	0.25103378358515	[30,37)
A4002	0.115237039292089	0.0987717424056063	[16,23)
A4003	-0.12899671906275	-0.0961930218416437	[16,23)
A4005	0.00903822653985215	-0.0643213375183826	[16,23)
A4006	-0.128874284248829	-0.182290538167368	[23,30)
A4007	-0.0871095381918615	-0.0288910029305023	[16,23)
A4008	0.100690497882896	-0.0587360722461666	[30,37)
A4009	-0.192993310426054	-0.135963533870219	[16,23)
A4010	0.130705035399038	0.0151921041078222	[37,44)
B4011	-0.107372448961767	0.0328093793293366	<16
B4012	-0.0784231148626253	0.0212475198940136	[23,30)
B4013	-0.321507868197048	-0.0727412291734309	[16,23)
B4014	-0.22361948978749	-0.201123628811974	[23,30)
B4015	-0.0702443420312147	-0.0630052908324968	[30,37)
B4017	0.126039133857249	-0.0193318446902293	[16,23)
B4018	0.204530080223498	-0.0564139794721824	[30,37)
B4019	-0.0105993846987678	0.0163294038011947	[16,23)
B4020	-0.235554842901917	0.125361114841334	[23,30)
C4021	-0.109065267854078	0.0761405314142709	[16,23)
C4022	0.0156159381493655	0.056886550620338	[16,23)
C4024	-0.127394959207708	-0.0753912421029903	[23,30)
C4025	-0.0667088787822108	-0.016381332862277	[23,30)
C4026	-0.304746200473726	0.193987721293422	[16,23)
C4027	-0.146057420515942	-0.0734816386112723	[23,30)
C4029	-0.0915763644887993	-0.180319107010206	[23,30)
C4030	-0.133585971109535	-0.19851386987798	[16,23)
D4031	-0.125065164282986	-0.218748590312312	[16,23)
D4033	-0.310078002693389	-0.163266767045122	[16,23)
D4034	0.134508595365438	-0.165338941714991	[37,44)
D4035	0.0121604599469235	-0.0732020574629026	[23,30)
D4036	0.138725953333775	0.00739894390975159	[30,37)
D4037	0.263369018530428	-0.0722734042622488	[23,30)
D4039	0.261872224201644	-0.10282717073482	[23,30)
D4040	-0.0680710053671214	-0.0175218816115103	[23,30)
E4041	0.120636169941079	0.0801573968195915	[30,37)
E4042	0.105052212612103	0.0782175676541726	[30,37)
E4043	0.308483604652617	-0.0403068743236014	[30,37)
E4044	0.11011411831368	0.00307525177634325	[23,30)
E4045	0.249127279776636	-0.071092686824801	[30,37)
E4046	0.144070726973174	0.024304926220245	[23,30)
E4047	0.238407803472957	0.0921539342326287	[30,37)
E4048	0.068088745658253	0.144732098650105	[16,23)
E4050	0.221371423781767	0.102258410786729	[30,37)
F4054	0.0823877954898265	0.163244342361042	[30,37)
F4055	0.0194192592463773	0.013835103813166	[23,30)
F4056	0.314720072818963	-0.0870292937697854	[30,37)
F4057	0.232579565122746	-0.0100488685065973	[30,37)
F4058	-0.221549555644564	0.0243848826857692	[16,23)
F4060	0.0692948665011768	0.151756943460502	[30,37)
G4061	0.0805358680116583	-0.0567118544985473	[23,30)
G4062	-0.0114601482238881	-0.0231605636928545	[30,37)
G4063	0.0960199183524104	-0.00768262961568808	[16,23)
G4065	-0.158144607729246	-0.094033199767306	[16,23)
G4066	0.245167221905511	-0.0549515295213476	[30,37)
G4068	-0.00483102671531131	-0.108799312549235	[23,30)
G4069	0.0316739889213698	-0.0614678535440571	[30,37)
G4070	0.138648238184025	-0.178887575540823	[30,37)
H4071	-0.193008313824057	0.0499176947684829	[30,37)
H4074	0.152905243739392	0.0597407106802584	[23,30)
H4075	0.0106489656978646	0.203670391574761	[16,23)
H4076	0.0518212630176424	-0.127552570429796	[37,44)
H4077	-0.164338494105082	0.0567755942465746	[23,30)
H4079	0.137933060622071	-0.013837866100478	[23,30)
H4080	0.224350320849391	-0.0361897353890012	[23,30)
J4083	-0.102420285994748	0.0328850734484297	[30,37)
J4085	-0.0707882099984786	0.18008193093233	[16,23)
J4086	-0.00344998179707754	0.156791266479753	[30,37)
J4087	-0.0546180627126961	-0.0255574181244877	[30,37)
J4088	0.194935962170671	-0.0184148364743812	[23,30)
J4089	0.109853741264817	0.196092884451772	>=44
J4090	-0.0137347047299424	-0.131836273120268	[23,30)
K4091	-0.175091905285019	0.372372045027101	<16
K4092	-0.164394069453198	-0.250417007509748	[16,23)
K4093	0.182259939433052	0.0196653269451208	[30,37)
K4094	-0.164097431920487	0.291912355796731	<16
K4096	-0.103913579061423	-0.0252309814591355	[30,37)
K4097	-0.148365394899392	0.0490617366205885	[16,23)
K4098	-0.0984772721732726	0.0947271011605837	[37,44)
L4101	-0.192779706697891	0.0855326936979056	[23,30)
L4103	-0.171332690734867	0.0428262334610056	[23,30)
L4105	0.0983756333228804	0.224113706996484	>=44
L4106	-0.0105602389375186	-0.170970967315661	[23,30)
L4107	-0.109505017814766	-0.115495664180407	[23,30)
L4108	-0.120132308183764	0.0812604128591657	[23,30)
L4109	0.0457747364345297	-0.148761968964207	[16,23)
L4110	0.205418872802364	-0.0345434860304073	[37,44)
M4111	-0.00702370696275186	-0.0519467661785655	[37,44)
M4112	0.00136138533674095	0.0729703660306806	[30,37)
M4113	0.220081895250447	-0.071310537037919	[37,44)
M4114	0.252850977581307	-0.0537076714882627	[23,30)
