Axis	PC1	PC2	group
M4115	0.0421270534002804	-0.131501924010031	[23,30)
M4116	-0.0708254721283204	-0.0849376833146513	[23,30)
M4117	-0.180992435432201	-0.040405658781811	[16,23)
M4118	-0.0529793086736224	-0.044685125750307	[23,30)
M4119	-0.126400838947678	-0.0753976077984796	[23,30)
N4121	0.290949464554793	-0.0525243891829978	[30,37)
N4122	-0.00621649817746942	0.0195151303752799	[23,30)
N4123	-0.233470289450371	0.575534356886678	<16
N4124	0.088640462374862	0.0231161450443023	[23,30)
N4126	0.0901623629616929	-0.11352797356593	[37,44)
N4127	0.0813000757003267	-0.186016659250569	[16,23)
N4128	-0.0949852410463177	0.00647856876374251	[30,37)
N4129	-0.209335793647936	-0.189918185213063	[16,23)
N4130	0.296668841842804	-0.0480966193433562	[30,37)
P4132	-0.0166461712086539	-0.0807626894407357	[23,30)
P4134	-0.158248710524285	-0.0890228565241184	[37,44)
P4135	0.18918434342115	0.0303211021856456	[30,37)
P4138	-0.302034640838793	0.21794039741568	<16
P4139	-0.191792630245803	-0.00671229378639791	[16,23)
P4140	-0.0922519836522692	0.0297169842135039	[23,30)
Q4141	0.00505234220382803	-0.0474986084146829	[37,44)
Q4142	-0.111955841606827	0.0795602908943304	<16
Q4143	-0.026815935986616	-0.00698165578968064	[23,30)
Q4144	-0.0431986067437241	0.00580257264612921	[30,37)
Q4145	0.0225322889757332	0.134435579196515	[30,37)
Q4146	0.13118399124224	-0.0133231573901257	[23,30)
Q4147	-0.176126618190394	0.0712125415709601	[23,30)
Q4148	-0.0194596816598488	-0.133015779043353	[23,30)
Q4149	0.0650234181650913	-0.0229802994581404	[23,30)
Q4150	0.197534210454738	0.299417882148019	>=44
R4151	-0.0875751594682939	-0.0278190665657627	[23,30)
R4152	0.0417280658058092	0.0182006135864441	[23,30)
R4153	-0.0338953699789557	-0.106461669976555	[23,30)
R4154	-0.101049017716225	0.00349642343067102	[37,44)
R4155	-0.115234643611219	-0.0688577559981924	[23,30)
R4156	0.0349324025937723	0.064024046344239	[30,37)
R4157	-0.158166834554011	-0.0746613217116021	[23,30)
R4158	-0.121059128284664	-0.0865258859482917	[23,30)
S4161	0.104322704019533	-0.139111496098892	[30,37)
S4162	0.0740015390924246	-0.0309987973212214	[37,44)
S4165	0.217009542371403	0.0127272984836479	[23,30)
S4166	0.20467050224971	0.144500175540957	[37,44)
S4167	0.034505772129092	-0.107739288759173	[16,23)
S4168	0.202524132788388	0.0544957730744752	[30,37)
S4169	-0.0993664988494687	-0.251452418639334	[23,30)
S4170	-0.153175351528676	0.127436479399012	[30,37)
T4171	0.194749333672074	-0.0161342371963251	[37,44)
T4172	0.166998448147842	-0.0860335254984605	[16,23)
T4173	0.0397644571933209	0.074991979467317	[23,30)
T4174	-0.0681774229611249	0.091705050517517	[30,37)
T4175	-0.0874796887659704	0.148903811589044	[23,30)
T4177	-0.202306717315853	0.211865111013866	[23,30)
T4178	0.139455011767548	0.240918585115764	[30,37)
T4179	0.0463717824058592	0.202969575295562	[23,30)
W4193	-0.131758176587922	-0.00677571929191174	[23,30)
W4194	-0.134298532615886	-0.175138454241896	[23,30)
W4195	0.234461483092705	-0.024545793375617	[23,30)
W4196	0.236709718899746	0.00203640680585244	[23,30)
W4197	0.0807796697078799	-0.0421176707543251	[16,23)
W4198	-0.272999424101242	-0.042329448323979	[16,23)
W4199	-0.0966813491069639	-0.132804015963251	[23,30)
W4200	0.245950823347962	-0.012622398271603	[37,44)
X4203	0.243831836045593	-0.0721046945563322	[30,37)
X4204	0.122400976973742	0.302762678838226	>=44
X4205	-0.120716305055528	0.204667021123179	<16
X4206	0.0708462984593578	0.102963565524246	[16,23)
X4208	0.0049109333832101	0.0261345968376602	[30,37)
X4209	-0.267988267034767	-0.13509875930844	[16,23)
X4210	0.163579305570452	-0.0956666482915623	[37,44)
Y4211	-0.0513482587629012	0.337885135823752	<16
Y4212	-0.215632365751092	-0.199576756717302	[23,30)
Y4213	-0.272187469749684	-0.177958228107818	[23,30)
Y4214	-0.310592812644882	-0.0744219890800469	[16,23)
Y4215	0.174439197661023	0.0168765035355257	[30,37)
Y4216	-0.144298578746209	0.0341991196489174	[30,37)
