Axis	PC1	PC2	group
A4001	0.0129865422718586	0.225506305136939	[13,18)
A4002	-0.0258472842720193	0.0998706497276999	[8,13)
A4003	-0.15100981787513	-0.0811756721664798	[8,13)
A4005	-0.100174707827911	-0.036128020995677	[8,13)
A4006	-0.126332118609577	-0.0336211430643253	[8,13)
A4007	-0.131162575532127	-0.207956379717667	[8,13)
A4008	0.120594974497232	0.0733078647687006	[13,18)
A4009	-0.100720858251085	0.00242152046797206	[8,13)
A4010	0.0955795139900172	0.236691251349121	[18,23)
B4011	0.0805690510520078	-0.30465255402086	[8,13)
B4012	-0.174888885521127	-0.131261665643294	[13,18)
B4013	-0.262999957588493	-0.044772594618713	[8,13)
B4014	0.0650036877380669	-0.214404660200896	[8,13)
B4015	-0.064041630138983	-0.0939133269484038	[13,18)
B4017	-0.0653158328554592	0.177512742794846	[8,13)
B4018	0.225167406236339	-0.103415718623555	[13,18)
B4019	0.183335163057761	-0.105866986083115	[8,13)
B4020	-0.236936035446583	0.059548788735022	[8,13)
C4021	-0.102371609657357	0.305018829787272	<8
C4022	-0.0947828740087827	0.106546030760362	[8,13)
C4024	-0.00915678795329695	0.0634055511566083	[18,23)
C4025	-0.172157186618202	-0.134761719405148	[13,18)
C4026	-0.0895015813402183	-0.103134860257151	[8,13)
C4027	-0.221525290622614	-0.0449315641362016	[8,13)
C4029	0.0387581655209709	-0.305430886898155	[13,18)
C4030	-0.0646866036384977	0.024480679717348	<8
D4031	-0.0827641501568364	-0.129546107954027	[8,13)
D4033	-0.194873153154161	-0.104772820785745	[8,13)
D4034	0.108839742012704	0.0346160537144525	[18,23)
D4035	0.0861097971078434	-0.306222028731014	[13,18)
D4036	0.287026145012184	0.0471267882182024	[18,23)
D4037	0.123010493734848	-0.156604669609544	[13,18)
D4039	0.0664295689188215	-0.240645271507944	[8,13)
D4040	0.0296789335938089	-0.0541416956546142	[13,18)
E4041	0.229984058526386	0.169749066203933	[18,23)
E4042	0.0200640449724449	0.282679639605909	[18,23)
E4043	0.219957055349991	-0.00392425789020413	[18,23)
E4044	0.0412239282180413	0.102066636023138	[8,13)
E4045	0.119782866758012	-0.0957568436744121	[23,28)
E4046	0.153725779012868	0.00471842186201718	[13,18)
E4047	0.156037097892636	-0.0524477264876956	[13,18)
E4048	0.122382352704326	0.102352775701609	[8,13)
E4050	0.116010281920928	0.148250348268133	[13,18)
F4054	-0.0445437109864923	0.123836984192809	[13,18)
F4055	0.13405052269218	0.156600579151308	[8,13)
F4056	0.141440532376406	-0.00799564932708209	[18,23)
F4057	0.134236355363473	-0.148190376120835	[13,18)
F4058	-0.0954007321872766	0.0216443759009372	[8,13)
F4060	0.131923304551008	0.018621294500498	[8,13)
G4061	0.0964478709873514	0.0330111072572141	[8,13)
G4062	0.159830330240221	0.131437285103335	[18,23)
G4063	-0.00669584883070829	0.187722104506547	<8
G4065	-0.138032477900399	0.0402225477549187	[8,13)
G4066	0.052585407577913	-0.184406647035004	[8,13)
G4068	-0.0464836635329368	-0.11049666930604	[8,13)
G4069	-0.0635767848994195	0.0173401452615004	[8,13)
G4070	0.0258654975946745	-0.209207619540596	[8,13)
H4071	-0.19071708041877	0.141498036839162	<8
H4074	0.193695388321473	0.0482500370796395	[8,13)
H4075	-0.180073352251096	-0.11190506552191	[8,13)
H4076	0.142067462135575	0.0212143035556643	[23,28)
H4077	-0.0357166238708611	-0.179461614058623	[13,18)
H4079	0.0571510972305518	-0.0184283385396026	[13,18)
H4080	0.284943201169843	-0.109328334906	[23,28)
J4083	-0.160126231129669	0.145579703892085	[13,18)
J4085	-0.199795129481929	0.0923255734617686	<8
J4086	-0.0758593632030405	-0.0526426078832703	[8,13)
J4087	0.0343886729437354	0.0337194301471481	[23,28)
J4088	-0.0143290217861368	0.216670395570004	[18,23)
