ID	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
Y4213	0.277	0.00165	992.5	0.859	0.489	10.1	29.2	17656	989	0.455	0.141	3.37	4.87	1.47
Y4214	0.186	0.00383	1172.3	0.926	0.597	22.1	67.6	17656	1169	0.432	0.0738	4.21	6.08	1.83
Y4215	0.188	0.00412	1156.8	0.934	0.608	24.7	72.7	17656	1154	0.411	0.0658	4.29	6.18	1.86
D4040	0.202	0.00485	1272.5	0.937	0.623	27.2	85.6	17656	1269	0.425	0.063	4.45	6.42	1.93
F4057	0.184	0.00634	1321.7	0.949	0.657	35.3	111.9	17656	1319	0.407	0.0512	4.72	6.81	2.05
J4087	0.169	0.00476	1225.5	0.936	0.623	26.3	84	17656	1223	0.392	0.0643	4.43	6.39	1.92
Q4142	0.18	0.00277	986.8	0.916	0.565	18	49	17656	983	0.435	0.0839	3.89	5.61	1.69
Q4143	0.13	0.00461	1168.4	0.95	0.623	30.7	81.4	17656	1165	0.427	0.0501	4.4	6.35	1.91
Q4144	0.185	0.00512	1216.2	0.943	0.634	30.1	90.4	17656	1213	0.417	0.0569	4.5	6.5	1.96
Q4146	0.159	0.00529	1213.5	0.95	0.639	33	93.4	17656	1210	0.411	0.0496	4.54	6.55	1.97
R4151	0.132	0.00554	1224.7	0.952	0.645	34.4	97.9	17656	1222	0.41	0.0478	4.58	6.61	1.99
R4152	0.198	0.00409	1133.3	0.93	0.609	23.8	72.1	17656	1130	0.424	0.07	4.28	6.17	1.86
R4153	0.133	0.0064	1248.4	0.959	0.663	40.3	112.9	17656	1245	0.413	0.0414	4.73	6.82	2.05
R4154	0.131	0.00456	1090.7	0.951	0.628	31.7	80.5	17656	1087	0.44	0.0487	4.39	6.33	1.91
R4156	0.129	0.00481	1083.9	0.953	0.636	33.3	85	17656	1081	0.421	0.0474	4.44	6.41	1.93
R4157	0.204	0.00309	974.9	0.921	0.581	19.8	54.5	17656	972	0.413	0.0787	4	5.77	1.74
S4161	0.13	0.00607	1272.6	0.957	0.654	38.6	107.2	17656	1270	0.422	0.0431	4.67	6.74	2.03
S4162	0.178	0.00374	1065.3	0.931	0.601	23.3	66	17656	1061	0.449	0.069	4.19	6.04	1.82
S4165	0.114	0.0079	1279.8	0.969	0.69	53.4	139.5	17656	1277	0.387	0.0313	4.94	7.12	2.14
S4167	0.239	0.00436	1173.9	0.922	0.615	22.6	76.9	17656	1170	0.428	0.0784	4.34	6.27	1.89
