rownames	tiller	height	wetWeight	COUNTRY	Latitude	Longitude	Regions	Subspecies	tiller_raw	tiller_cat	group
G4062	[30,37)	59	74.4133333333333	Philippines	16.0132	122.161	SouthPacific	IND	31	T4	[30,37)
G4063	[16,23)	74.3333333333333	59.16	Guinea	9.29	-13.49	Africa	TRJ	15.6666666666667	T2	[16,23)
G4065	[16,23)	77	81.1166666666667	Philippines	15.6611	120.451	SouthPacific	IND	20.3333333333333	T2	[16,23)
G4066	[30,37)	85.3333333333333	125.313333333333	SriLanka	7.717	81.7	Subcontinent	IND	32.3333333333333	T4	[30,37)
G4068	[23,30)	108.666666666667	181.216666666667	Nepal	27.445	82.9558	Subcontinent	AUS	26	T3	[23,30)
G4069	[30,37)	89.3333333333333	179.82	Iran	31.2367	51.0068	Mideast	AUS	29.6666666666667	T4	[30,37)
G4070	[30,37)	71.6666666666667	97.7733333333333	Bhutan	27.3	90.617	Subcontinent	AUS	35.6666666666667	T4	[30,37)
H4071	[30,37)	84.6666666666667	149.953333333333	Tajikistan	39.1759	71.2467	Balkans	TEJ	30.6666666666667	T4	[30,37)
H4074	[23,30)	70.1666666666667	124.793333333333	India	29.0509	77.2151	Subcontinent	IND	26.3333333333333	T3	[23,30)
H4075	[16,23)	88	96.7466666666667	Hungary	47.6612	18.9556	EasternEurope	TEJ	19.3333333333333	T2	[16,23)
H4076	[37,44)	53.3333333333333	94.4933333333333	Cuba	23.322	-83.6698	CentralAmerica	IND	38.6666666666667	T5	[37,44)
H4077	[23,30)	70.6666666666667	84.4866666666667	Peru	-10.0887	-76.2088	SouthAmerica	TRJ	25	T3	[23,30)
H4079	[23,30)	107	118.46	India	31.3013	75.1656	Subcontinent	IND	23.6666666666667	T3	[23,30)
H4080	[23,30)	80	82.47	China	23.5282	114.028	China	IND	28.3333333333333	T3	[23,30)
J4083	[30,37)	79.6666666666667	136.406666666667	Japan	36.7219	138.22	NorthPacific	TEJ	32.6666666666667	T4	[30,37)
J4085	[16,23)	102.666666666667	120.706666666667	Haiti	19.8263	-72.1007	CentralAmerica	TRJ	16.3333333333333	T2	[16,23)
J4086	[30,37)	67.8333333333333	98.34	UnitedStates	34.0368	-92.1069	NorthAmerica	TRJ	30	T4	[30,37)
J4087	[30,37)	78.6666666666667	99.0733333333333	Taiwan	22.5065	121.949	China	IND	33.6666666666667	T4	[30,37)
J4088	[23,30)	112.666666666667	180.44	China	29.8509	107.389	China	IND	28.6666666666667	T3	[23,30)
J4089	>=44	77	136.773333333333	Japan	35.2265	138.586	NorthPacific	TEJ	47.3333333333333	T6	>=44
J4090	[23,30)	82	117.236666666667	Turkey	37.533	43.5	Mideast	TEJ	27.6666666666667	T3	[23,30)
K4091	<16	101.666666666667	116.496666666667	Japan	38.1872	138.717	NorthPacific	TEJ	15.3333333333333	T1	<16
K4092	[16,23)	69.6666666666667	64.9333333333333	Myanmar	17.965	96.8093	SoutheastAsia	TRJ	20.6666666666667	T2	[16,23)
K4093	[30,37)	70.3333333333333	98.0333333333333	Nepal	28.7445	81.7418	Subcontinent	IND	31.6666666666667	T4	[30,37)
K4094	<16	56	44.8	Italy	43.0739	10.9219	WesternEurope	TEJ	10.6666666666667	T1	<16
