OTUID	tiller	height	wetWeight
B4017	9.33333333333333	89.3333333333333	53.3933333333333
E4041	21.3333333333333	61	47.4133333333333
E4042	19.3333333333333	68.6666666666667	45.8633333333333
E4046	14	70	55.7
E4047	17	57	42.4066666666667
E4048	10.6666666666667	59.3333333333333	27.8766666666667
E4050	14.6666666666667	70	52.6833333333333
F4054	15.3333333333333	63	52.94
F4055	10	67	52.3966666666667
F4060	12	48.6666666666667	34.83
J4086	9.66666666666667	60.3333333333333	22.33
H4074	11.6666666666667	55	42.4066666666667
H4071	7	65.6666666666667	24.8333333333333
J4083	14.3333333333333	67	57.2133333333333
J4085	5.66666666666667	74	37.7333333333333
J4088	18.6666666666667	74	67.8733333333333
J4089	15.6666666666667	61.3333333333333	47.55
J4090	10.3333333333333	61	30.9033333333333
K4091	6	87.6666666666667	50.32
K4098	12	78.3333333333333	54.1733333333333
N4123	8.33333333333333	94.3333333333333	59.39
P4138	7	93.6666666666667	54.2766666666667
P4139	8.33333333333333	85.6666666666667	56.3133333333333
P4140	11.3333333333333	49.3333333333333	39.5133333333333
Q4145	19.3333333333333	54.3333333333333	50.1033333333333
Q4147	13.3333333333333	61.3333333333333	57.1733333333333
Q4148	11.3333333333333	70.6666666666667	50.63
Q4149	10.3333333333333	81.6666666666667	53.2433333333333
Q4150	32.3333333333333	69	68.6766666666667
S4170	13	72	48.0533333333333
T4171	16.6666666666667	76.6666666666667	58.5666666666667
T4173	15.3333333333333	91.6666666666667	73.9833333333333
T4175	18.3333333333333	87	81.17
G4061	8.5	49	19.325
T4177	9	84	63.52
T4178	31	75	90.8366666666667
T4179	10	77.3333333333333	46.9733333333333
W4195	15.6666666666667	67.3333333333333	50.63
W4196	12.3333333333333	69.6666666666667	52.41
W4197	11	90.3333333333333	73.9466666666667
W4198	9	62.6666666666667	23.18
W4199	10.6666666666667	64	32.99
X4204	20.6666666666667	53	50.5666666666667
Y4211	7	94	55.15
A4001	14.3333333333333	69.6666666666667	50.2033333333333
A4002	10	56	42.2
A4008	16.6666666666667	63	51.1233333333333
A4010	19	63.3333333333333	48.13
B4020	10.6666666666667	82	50.0366666666667
C4021	6.66666666666667	92.3333333333333	57.21
C4022	8.66666666666667	66.6666666666667	46.7166666666667
C4027	9.33333333333333	87.6666666666667	45.6766666666667
E4044	9	70.6666666666667	39.45
F4058	8	62.3333333333333	25.5033333333333
G4065	11	67	50.3766666666667
G4068	8.66666666666667	81	38.8233333333333
G4069	11.6666666666667	76	56.3333333333333
H4079	13.3333333333333	92.6666666666667	65.27
K4097	13	80	76.4533333333333
L4101	10	87	58.26
L4103	10.3333333333333	87	40.7633333333333
L4107	9.33333333333333	67	27.2466666666667
L4108	10.6666666666667	94	60.37
L4109	9.66666666666667	89.6666666666667	52.89
L4110	18.6666666666667	76.6666666666667	61.6066666666667
R4155	12	71.6666666666667	58.59
R4158	10.6666666666667	68.6666666666667	49.6333333333333
S4166	22.6666666666667	73	73.7833333333333
X4206	7.33333333333333	88.6666666666667	49.4333333333333
X4210	18	47.3333333333333	40.5966666666667
Y4216	11.3333333333333	55.3333333333333	41.75
A4003	11	65.3333333333333	31.8966666666667
A4005	10.6666666666667	66.3333333333333	29.9566666666667
A4006	9.33333333333333	44.6666666666667	18.9633333333333
A4007	9.33333333333333	61	21.2366666666667
A4009	12	67.6666666666667	33.81
B4011	8.66666666666667	71	34
B4012	13	56.3333333333333	26.9266666666667
B4013	11	66	34.51
B4014	9.33333333333333	55.6666666666667	19.7733333333333
B4015	14.6666666666667	55.6666666666667	20.7666666666667
B4018	17.3333333333333	68.6666666666667	35.8
B4019	12	56	22.3466666666667
C4024	18.6666666666667	69.3333333333333	62.3233333333333
C4025	17.3333333333333	56.3333333333333	36.81
C4026	12	50.3333333333333	17.3033333333333
C4029	14.6666666666667	57	23.6633333333333
C4030	7.33333333333333	69	25.1366666666667
D4031	12.3333333333333	69.6666666666667	29.16
D4033	8.66666666666667	70.6666666666667	22.91
D4034	22	48.6666666666667	32.5033333333333
D4035	13.6666666666667	54.6666666666667	26.28
D4036	20.3333333333333	54.3333333333333	27.0166666666667
D4037	15.6666666666667	66.6666666666667	34.8733333333333
D4039	11.3333333333333	45.6666666666667	13.4966666666667
E4043	20.3333333333333	55.6666666666667	36.5133333333333
E4045	24.6666666666667	53	44.08
F4056	22	47.6666666666667	39.77
G4062	20.6666666666667	49.3333333333333	41.8633333333333
G4063	6.33333333333333	58.3333333333333	18.6066666666667
G4066	9.33333333333333	71.6666666666667	26.4866666666667
G4070	10.3333333333333	54.6666666666667	14.5466666666667
H4075	8.66666666666667	71.3333333333333	33.4133333333333
H4076	26.6666666666667	44	42.3666666666667
H4077	14.3333333333333	62.3333333333333	31.4733333333333
H4080	24.6666666666667	61	55.1866666666667
K4092	14	61.6666666666667	32.59
K4093	19.3333333333333	53.3333333333333	39.97
K4094	5	60.5	15.395
K4096	26.6666666666667	51	36.2933333333333
L4105	8.33333333333333	40.6666666666667	12.5166666666667
L4106	21.3333333333333	70.3333333333333	36.9366666666667
M4111	22.3333333333333	46.3333333333333	28.2766666666667
M4112	11.6666666666667	53.3333333333333	17.08
M4113	12	55	26.56
M4114	20.3333333333333	62.3333333333333	42.44
M4115	11.6666666666667	70	34.0833333333333
M4116	20.3333333333333	49.6666666666667	34.4533333333333
M4117	14.3333333333333	51.6666666666667	18.5166666666667
M4118	15	43.3333333333333	15.3833333333333
M4119	22.6666666666667	52.3333333333333	35.5266666666667
N4121	29.3333333333333	66.3333333333333	64.5
N4122	15	65.6666666666667	41.1633333333333
N4124	25.3333333333333	61.3333333333333	42.1966666666667
N4126	25.3333333333333	36.3333333333333	37.9066666666667
N4127	14.3333333333333	53.3333333333333	26.4
N4128	22.3333333333333	63.6666666666667	44.98
N4129	9	47	14.2
N4130	23.3333333333333	62.6666666666667	50.42
P4132	12.3333333333333	83.3333333333333	50.6566666666667
P4134	23.6666666666667	60	48.7866666666667
P4135	21.3333333333333	65	43.5366666666667
Q4141	11	47	15.05
S4168	13	72	43.1233333333333
S4169	11.3333333333333	62.6666666666667	18.4033333333333
T4172	17	72	57.1533333333333
T4174	14.3333333333333	80.6666666666667	38.6766666666667
W4193	10.6666666666667	69.6666666666667	24.8766666666667
W4194	13	56.6666666666667	31.93
W4200	26	54.3333333333333	49.0133333333333
X4203	30.6666666666667	64.6666666666667	47.1433333333333
X4205	14.6666666666667	69	47.51
X4208	8	82.6666666666667	28.5766666666667
X4209	4.66666666666667	68.3333333333333	14.66
Y4212	6.66666666666667	46.6666666666667	19.8366666666667
Y4213	11.3333333333333	65	34.5566666666667
Y4214	7.5	53	15.465
Y4215	18	43.6666666666667	26.7366666666667
D4040	16.6666666666667	62.3333333333333	28.2
F4057	13.6666666666667	46.3333333333333	28.9033333333333
J4087	24	60.6666666666667	44.7233333333333
Q4142	7	74.6666666666667	18.4266666666667
Q4143	11.6666666666667	62.6666666666667	31.7433333333333
Q4144	7	55.6666666666667	14.9733333333333
Q4146	11.6666666666667	57	24.9833333333333
R4151	13.6666666666667	82.6666666666667	32.08
R4152	13	75	36.2433333333333
R4153	20.6666666666667	85.3333333333333	63.2633333333333
R4154	31	54.6666666666667	42.81
R4156	9.33333333333333	68	30.2133333333333
R4157	9.33333333333333	63.6666666666667	25.9333333333333
S4161	16	63.3333333333333	28.3133333333333
S4162	17.3333333333333	65.3333333333333	33.17
S4165	15.6666666666667	64	38.17
S4167	9.33333333333333	80.3333333333333	28.6133333333333
