tiller	PCo1	PCo2	PCo3	PCo4	PC1	PC2	PC3	PC4
D4036	30	0.0645797003918846	-0.110880511203586	0.0283560348776927	-0.0451318359895494	-0.0524033	0.142886	0.00932954	-0.0791788
D4037	27.66666667	0.209222127110211	-0.102380263146476	0.00404074967506239	0.00490012901546288	-0.0680057	-0.0736708	0.00674474	-0.0232684
D4039	23.66666667	0.250537349984623	-0.11202066192136	0.0952247833692408	-0.0100913864782618	-0.0554393	0.147477	-0.000671581	-0.104999
D4040	29.33333333	-0.0806178093092922	-0.0799002316880418	-0.0519461594050009	0.00284884086926069	-0.0687515	-0.077186	0.00863757	-0.0177891
E4041	35.33333333	0.154901003870451	0.198119822651079	0.00610666447405467	-0.0345644413773416	-0.0567722	-0.0627666	0.00236994	-0.0173632
E4042	33	0.117831627092266	0.135354610129614	-0.0202272761823163	-0.024074798353553	0.0934292	-0.00980998	-0.127891	-0.00485921
E4043	35.66666667	0.254413721724689	-0.096512642259811	0.00934619051931108	0.0110046146901278	-0.0682547	-0.0791869	0.00602106	-0.00635922
E4044	24.33333333	0.0963627382743811	0.0100929121880867	-0.00604280632565472	-0.0298181669616269	-0.0693451	-0.0739219	0.00617997	-0.0243434
E4045	31.33333333	0.197864398472016	-0.0359088328117319	0.0309724553125629	-0.00474481675620597	-0.0657217	-0.0676641	0.00240964	0.00845197
E4046	25.66666667	0.166879223650847	0.0797843586714662	-0.0483466485405546	0.0255680164675522	-0.0489568	0.132163	-0.000945884	-0.150685
E4047	34.33333333	0.14530400947239	-0.0189729823114557	-0.0680195948658724	-0.0201658175305217	-0.0605465	-0.0658763	0.00563265	-0.0244702
E4048	20.66666667	0.158225651337713	0.166346796115412	-0.112577563899387	0.0210157559629054	-0.0724752	-0.0528895	0.00711652	0.0410813
E4050	30	0.160548677638392	0.0123319470782342	-0.0867286490729064	-0.00349144138745692	-0.0702621	-0.076676	0.00867946	-0.0214063
F4054	30.66666667	0.0542335034998549	0.102499094433783	-0.0843667016016115	-0.00605432042719201	-0.0684979	-0.0765321	0.00962449	-0.00707717
F4055	26.66666667	0.0962098567976098	0.117657338230279	-0.0115818158199358	0.0585374348127094	-0.0698925	-0.0648524	0.00746741	-0.00279227
F4056	33.33333333	0.268025214348	-0.1301417181967	0.0768873991903539	0.00332446992945778	-0.0660725	-0.072803	0.00744257	0.00590357
F4057	30.33333333	0.121289723979613	-0.126816657926514	0.0332362196023677	-0.0679589540791531	-0.0704645	-0.0752919	0.00870764	0.021422
F4058	17.66666667	-0.142584021773127	0.105038658769035	0.0358232956870724	-0.0502562717883393	0.094387	-0.0109203	-0.111988	0.00136969
F4060	33.66666667	0.0239425783408742	0.122399782508988	-0.0444292956418432	-0.0456468034868561	-0.0714963	-0.0783898	0.00679225	0.0191403
G4061	27	0.125891846046752	0.115020448285957	0.0997403952297079	-0.0572133861569811	-0.0685867	-0.0696528	0.00864502	0.0259185
G4062	31	-0.0638387553631821	-0.0807560165535806	-0.0591109562108745	0.0648798378256764	-0.066225	-0.0583674	0.00618587	0.057932
G4063	15.66666667	0.0810028327203801	-0.0774310396852089	0.0682708019768618	-0.0640381611608387	0.0961906	-0.0102102	-0.126889	-0.000706775
G4065	20.33333333	-0.0974803685671206	0.0872092848161682	0.158605287368307	-0.0748776877140864	-0.0678901	-0.0783496	0.00786041	0.0134993
G4066	32.33333333	0.153755611027701	-0.169843340356129	0.04558658353173	0.000185970471604306	-0.0713106	-0.0617876	0.00522831	0.015456
G4068	26	0.00208955941196692	0.085047347963132	0.127243245979062	-0.0658275115929703	-0.0446902	0.0917612	-0.0046114	-0.136643
G4069	29.66666667	0.0373392004029499	0.151184018848106	0.107566835644266	-0.0503245755095212	-0.0461331	0.130609	-0.00204164	-0.128231
G4070	35.66666667	0.0492246649819778	-0.205999258115187	0.0477080312320565	0.146857171685129	-0.0510957	0.139777	0.00214508	-0.088802
H4071	30.66666667	-0.214535479420794	0.0344294797702949	-0.0532468083215231	0.116221755869703	0.106976	-0.00403741	0.14415	0.000413222
H4074	26.33333333	0.142273870070317	0.0723057817989473	-0.0897032055950342	0.0362674045023548	-0.0683858	-0.0540151	0.00626603	0.0413047
H4075	19.33333333	-0.00056880451879422	-0.0908582790027475	-0.175020328314295	-0.0883463393288846	0.10969	-0.00875383	0.136394	-0.00540429
H4076	38.66666667	-0.0441586582888371	-0.137963594712529	0.00630292829652767	0.10639846744964	-0.0645608	-0.0689663	0.00192488	0.0070532
H4077	25	-0.143101801648522	-0.0273726885863606	-0.0234748589997389	-0.100619506215436	0.09823	-0.0118491	-0.152939	-0.00069672
H4079	23.66666667	0.134589952412076	0.0407979365876242	-0.0321809459366877	-0.00487572760961012	-0.0709958	-0.0761087	0.00622331	-0.00252562
H4080	28.33333333	0.169708938827519	-0.0992948537868825	-0.0139674496839848	0.00701288339368202	-0.0709273	-0.0721765	0.00496249	-0.0169805
J4083	32.66666667	-0.077305516797144	0.0994994339945742	-0.0439915861842637	0.0859864250196328	0.112538	-0.0109973	0.143822	-0.0124682
J4085	16.33333333	-0.0322630685263187	0.092044861343477	-0.0408139310777532	-0.0682900026217644	0.0948203	-0.0133712	-0.152161	0.00228451
J4086	30	-0.00234348197194552	0.0961415736894959	-0.0706110806408369	-0.0121180810324382	0.112448	-0.010138	0.146639	-0.0117473
J4087	33.66666667	-0.0987072002739067	-0.102607990363835	-0.0399268112142543	0.010946471747131	-0.0644594	-0.0694293	0.00929239	-0.0405597
J4088	28.66666667	0.238906502215184	0.120061890436544	-0.0380109502568494	0.0203399221504203	-0.0718364	-0.074727	0.00821682	-0.0270235
J4089	47.33333333	0.0814518276426347	-0.00271678848847061	-0.0417902373667422	-0.0258703418255204	0.112339	-0.0101749	0.143929	-0.0119017
J4090	27.66666667	0.0831645370987974	0.256009317584227	0.304948044020786	-0.0909656612509101	0.1076	-0.00472215	0.141403	0.00128687
K4091	15.33333333	-0.0876232922308073	0.0953169782224946	-0.118980359977323	-0.0325173873922183	0.112647	-0.0096096	0.143816	-0.0124199
K4092	20.66666667	-0.101662688212372	0.0299401885972541	0.113160116907998	0.120360949510547	0.0938336	-0.0102626	-0.0253094	-0.0110732
K4093	31.66666667	0.0754887544391094	-0.136647118625993	0.00105367258406109	-0.0252066297287355	-0.0700063	-0.0271774	0.0106958	0.068977
K4094	10.66666667	-0.124381138975167	-0.0223711119762785	-0.0782077564387807	-0.112750398415309	0.10557	-0.0106008	0.0148501	-0.00434438
K4096	31.33333333	-0.136002241723867	-0.0653105756759123	-0.00349662521106836	0.0186274482986097	-0.0590871	-0.0648808	-0.00594783	-0.0241537
K4097	20	-0.162230327892094	-0.0416691784347503	-0.0565007996635387	-0.00150474556330961	-0.0548514	0.1479	0.00285545	-0.0477777
K4098	37.33333333	-0.0875775273554026	0.0846852912360639	-0.0583145988602924	0.035197884987398	0.076921	-0.0147751	-0.0737152	0.00616752
L4101	29.33333333	-0.15734344915463	0.0280187569835038	-0.101220538840938	0.0469260098114925	0.110352	-0.0076191	0.152735	-0.00607001
L4103	29	-0.168714792938712	0.00677465654806294	-0.0913877214438226	0.036102613287617	0.111054	-0.00758351	0.132262	-0.0144718
L4105	44	-0.0129244444929713	-0.0779325038990573	-0.0370236977980486	-0.0214439346955498	-0.0358872	-0.0565615	-0.0325529	0.0239007
L4106	24	-0.0408570563181032	-0.0485594152293764	0.0808914678359689	0.0464855029637646	-0.0484664	0.0931128	-0.00818637	-0.229725
L4107	23.66666667	-0.0686228221602039	0.0985454987814389	0.0223114914843272	0.0970401482425887	0.0906751	-0.0117603	-0.121243	0.00445765
L4108	24	-0.151109909972674	0.0566111294849403	-0.148604719685875	0.113337983828022	0.105167	-0.00284456	0.144727	0.0011106
L4109	22	0.058906335130796	0.0600710115632384	0.0424933695412801	0.043768373668828	-0.0479796	0.0922466	-0.0083715	-0.221823
L4110	39.33333333	0.200942851339565	0.0490789590850179	-0.0652546727040116	0.037892511502334	-0.0664615	-0.0701607	0.00827884	-0.0284323
M4111	38	-0.0584017808330138	-0.104419018232528	0.049140371050985	-0.0475131998057711	-0.0485135	0.124837	-0.00976982	-0.211428
M4112	34	0.00170465215559454	0.0215758585985423	0.0239960907133982	-0.0278218332971163	-0.070012	-0.0798307	0.011707	-0.00206241
M4113	43.33333333	0.163188092795186	-0.0454721736156444	0.00798089340144298	0.0174075788287077	-0.0704172	-0.0710298	0.00606319	0.0109454
M4114	25	0.179353735457047	-0.0887161512785937	-0.0161591607836186	0.0112839752901348	-0.0650542	-0.0665854	0.00703773	-0.0486059
M4115	23	-0.0520924370151922	-0.167629952114783	0.0531555101345647	0.0843004181428061	-0.0675634	-0.0670014	0.00558117	-0.0151294
M4116	26.33333333	-0.0409608793361058	-0.0944549254546355	0.0466498734183972	0.00522267459755883	-0.0495352	0.142932	0.0056888	-0.0869806
M4117	21.33333333	-0.104942779571077	-0.0162262991991292	0.00171590243518099	-0.0574619056880807	-0.0709532	-0.0748062	0.00574313	-0.0128261
M4118	23.66666667	-0.0545840054202675	-0.0530655829835852	0.0105574879485934	0.0156692902787	-0.0696479	-0.0609816	0.0086454	0.0432503
M4119	23.66666667	-0.0990493196939049	-0.0797859873538772	0.0121748544626877	0.034470287386346	-0.0718854	-0.0728284	0.005308	-0.016001
N4121	30.66666667	0.266368408950581	-0.0999132624521109	0.0376210092416193	0.0222426202905279	-0.0678804	-0.0302837	0.00556046	0.0880114
N4122	28.33333333	-0.0543012299407389	-0.136874651511872	-0.0369419378977205	0.0112615326755743	-0.0562398	0.140898	-0.000542163	-0.181108
N4123	13	-0.169826228216469	0.110818919220594	-0.201785754915464	-0.11560734189271	0.109387	-0.00811218	0.0567082	-0.00851269
N4124	28.33333333	0.043341273269409	-0.0463421519338495	0.00160844957423943	-0.0276033233449532	-0.053055	0.152045	-0.00112762	-0.131504
N4126	41.66666667	0.0425605392695804	-0.063177463621967	0.0716937395481207	0.00976878661066014	-0.0628028	-0.0687763	0.0089338	0.0199656
N4127	18	0.0687380165262349	-0.0681998480709484	0.00502775068560032	0.154697149485753	-0.0675651	-0.0716838	0.00343367	0.00816097
N4128	32.66666667	-0.0993797935279861	-0.0022406200547109	-0.0124722605666831	0.0658455362910349	-0.0506521	0.149661	-0.00288917	-0.117817
N4129	15.5	-0.152411825891269	-0.0217587307842576	0.102024223480501	-0.0230215537895463	0.0437116	0.0394607	-0.105829	-0.0389852
N4130	34.33333333	0.197104399425708	-0.120593653818208	-0.0100711653448418	0.00745990737568696	-0.0690282	-0.0351695	0.00910633	0.104534
P4132	24	-0.00939833326032616	0.0214190512626883	-0.0303870659304631	0.118821462554055	-0.0559933	0.12168	0.00479361	-0.0290809
P4134	42	-0.186997597800966	-0.0781709953137553	-0.0137108460477869	0.0312316582890146	0.00859542	0.0408603	-0.0182987	0.026707
P4135	32.66666667	0.0938830962490792	-0.16142463906373	-0.0551666831915037	0.0389481822267877	-0.0714878	-0.0755232	0.00625575	-0.0348038
P4138	10.66666667	-0.188599445137079	0.1916181626993	0.0464271004910601	-0.00423715766952001	0.0949095	-0.0109389	-0.0561907	-0.00333292
P4139	21	-0.0882701732247343	0.17021995573102	0.100292176698929	0.0638387704218315	0.111642	-0.00842801	0.15585	-0.00111126
P4140	29	-0.0167537692772317	0.239746575612555	0.0176385453660129	0.000139257722386841	-0.0688886	-0.0650085	0.00318738	0.0245635
Q4141	40	-0.0607474152824823	-0.0692179349462047	0.0873321478983248	-0.151288782416437	-0.065398	-0.0574707	0.00319035	0.0410908
Q4142	14	-0.0667733150388729	-0.00694821445166431	0.0868167779803097	0.0264232445398179	-0.0621217	-0.0702575	0.0062715	-0.0240426
Q4143	24.33333333	-0.0410949119650725	-0.116492470996142	0.0140565503772057	-0.0800704908959415	-0.0612361	-0.069584	0.00691086	-0.00383445
Q4144	31.33333333	-0.0300430872991535	-0.0365633486294536	-0.00564219243548912	0.0131982300593889	-0.066984	-0.077498	0.0106298	-0.000796043
Q4145	36.33333333	0.0485785994321734	0.149080007299412	-0.0324535042679638	-0.0591116630883461	-0.0715281	-0.0756234	0.00725002	-0.0149292
Q4146	27.33333333	0.121647699903247	-0.0511243588427087	-0.014030163160912	0.00341336487366793	-0.0605655	-0.073536	0.0102924	-0.00772621
Q4147	27	-0.0632219069807691	0.158348562790102	0.017988487781459	-0.0203166795116973	0.0921638	-0.019982	0.126343	0.00568603
Q4148	23.66666667	0.0612279656380737	0.120085860021285	0.0376328838532932	0.0921039225512224	0.110873	-0.00952119	0.15692	-0.00394078
Q4149	26	0.0831877100845434	0.00047932086525038	0.00447314006512449	0.0117177311003235	0.111793	-0.00856213	0.146109	-0.00272509
Q4150	44	0.214723715683606	0.16033008659758	-0.120316987094472	0.0444352531809645	-0.054145	0.152416	0.0169262	0.186019
R4151	25.33333333	-0.0962478370951263	-0.0922414279089726	-0.0038695238277029	-0.0312674340346736	-0.0262404	0.137971	0.00463812	0.218906
R4152	23	0.0223176599896304	-0.110154937520814	0.00848422409839642	-0.079091564324116	-0.0338293	0.136055	-0.000262101	0.229762
R4153	23	-0.0628317040329124	-0.123699390343375	0.0316968826545231	-0.00646374360429345	-0.0343574	0.139256	-0.000642773	0.225105
R4154	37.66666667	-0.080530699794974	-0.0729454225016867	0.00136193981047883	-0.0145045048755517	-0.0675175	-0.0641225	0.00321306	-0.00439782
R4155	27	-0.127702614555332	0.00595416737156612	-0.00308142338660962	0.0723438439552271	-0.0562419	0.147436	0.00281667	-0.0822591
R4156	33.33333333	-0.0485114383323922	-0.148575872666675	0.00697276185834054	-0.126256440905161	-0.0549541	0.148686	0.00157703	-0.121843
R4157	28.33333333	-0.17250126899934	-0.0875988333391513	-0.00293732824025683	-0.0325775415122474	-0.056547	0.14744	-0.000991927	-0.18016
R4158	28.33333333	-0.123470980508532	0.00957523173233003	-0.0176369275393902	0.0737708875855059	-0.0579073	0.152657	0.00258648	-0.0846373
S4161	30.33333333	0.100080489953	-0.0386780124406766	0.17932553021755	-0.0323323738080968	-0.0538882	0.149482	0.0173995	0.174113
S4162	39.66666667	0.0154645815895079	-0.082161985199921	0.0594029004878503	-0.0684783765753238	-0.0173574	0.133592	0.00191581	0.211705
S4165	28	0.127612719040868	-0.187834142898271	-0.00224272060175614	-0.0364365278890389	-0.0714019	-0.0354458	0.00482283	0.0371383
S4166	39.66666667	0.134682654254757	0.0410193873008942	-0.170320496688348	0.0171287084602975	-0.0516402	0.150284	0.013613	0.194231
S4167	16	0.047164218137327	-0.053480245774399	0.0663719755683176	0.0331480548149243	0.107581	-0.00549299	0.146689	-0.00180508
S4168	32.66666667	0.0675126446898061	-0.146765745675133	0.00627217760762283	-0.059148043678849	-0.0755202	-0.038787	0.00819061	0.0535188
S4169	27	-0.113359899865443	-0.0279925848980413	0.112839077580815	0.151905893370991	0.0930233	-0.0125706	-0.13174	0.00622044
S4170	31	-0.160592502766238	0.0175890036547393	-0.0773673073545454	0.00267264009502944	0.0905313	-0.0112579	-0.135556	0.00524422
T4171	41.33333333	0.137549737905713	0.015761517578489	-0.0459027751709024	0.0153533689300628	-0.0496388	0.155489	0.0048657	0.120709
T4172	19.66666667	0.108061674105529	-0.187570140981783	0.0644067003097212	0.00530840716309213	-0.0580121	0.150199	0.00169506	-0.140741
T4173	29	0.114661183669802	0.200916970402272	-0.099459657499725	0.0325415909052178	-0.0582993	0.144429	0.00892444	0.0775278
T4174	30.33333333	-0.141038687707584	-0.138309212313999	-0.0442588902986614	-0.0828300983684355	-0.0196888	0.137733	-0.00661451	0.199458
T4175	29	-0.089631177128791	-0.0311500176583441	-0.109404373660897	-0.0504882225488736	-0.0537395	0.147689	0.00877908	0.134683
T4177	22.66666667	-0.159944588699158	0.0570631721363827	-0.101605992688339	-0.0825051947095573	0.110508	-0.00812714	0.154408	-0.00693556
T4178	33	0.0893761699132179	0.057288504964651	-0.191202122636267	-0.0169955969777171	-0.0530279	0.151658	0.0151121	0.190078
T4179	25.66666667	0.0237869789697437	-0.0217174423223218	-0.163204227552874	-0.00945363606403021	0.109647	-0.00620685	0.135667	-0.00210473
W4193	23.33333333	-0.123247736395753	-0.0292490025922704	-0.0283712123278703	-0.104817946179332	0.0916886	-0.013241	-0.137874	-0.000874646
W4194	23.66666667	-0.125594490744495	-0.095934300399144	0.119982582448684	-0.0512947551508113	-0.0669679	-0.0689402	-0.00513256	-0.00521308
W4195	27.33333333	0.26801763145353	0.106538501342986	-0.0118602809255684	0.00600286272486228	-0.0719206	-0.0709457	0.00353428	-0.0011975
W4196	22.66666667	0.225457958399724	-0.032012554339333	-0.0579889605689194	0.00723178934899581	-0.0710787	-0.075235	0.00296834	-0.0044999
W4197	17	0.0892717412783687	0.0755192956899261	0.00776531527346296	-0.0167796157908558	-0.0704618	-0.0523834	0.0046516	0.0277436
W4198	18.66666667	-0.213942972979987	0.0961326497107554	0.140090640054414	-0.207462570420534	0.0908834	-0.0121583	-0.133416	0.000650599
W4199	27.66666667	-0.073354778838768	0.100042883682501	0.117550295998301	-0.00172718949995825	0.0892517	-0.01245	-0.144866	0.000803208
W4200	39.33333333	0.136643115130658	-0.170790548597864	-0.0611525170994481	0.0258037895906827	-0.0680986	-0.0684806	0.0105343	-0.0104739
X4203	36	0.156451009297485	-0.154237673759309	0.0112946706573456	0.0381366513969344	-0.0641296	-0.0706903	0.0136204	-0.0232038
X4204	47.66666667	0.0465235672151209	0.0423069406700927	-0.109065633080721	-0.0445852141943667	-0.0721884	-0.0674154	0.00570432	0.0158187
X4205	14.66666667	-0.0738380573800565	-0.0876313885851318	-0.0702399130830783	0.000284649941589922	-0.0676069	-0.0582558	0.00493155	0.0221485
X4206	20	0.0297972926067311	-0.0321415319232648	-0.0984380479406212	0.0193797595009181	-0.0123419	0.12851	0.000623607	0.211992
X4208	29.66666667	-0.0445090102620883	0.00630329742467453	0.0492551050218405	-0.0984246560605921	-0.0411293	0.132548	0.00523804	0.213528
X4209	17.33333333	-0.234120238349368	0.0312081406229168	0.0795234388270422	0.121353184270882	0.097591	-0.00886856	-0.106909	0.00360371
X4210	42.66666667	0.111255771568017	0.0276504527226756	0.000975736944088737	0.0304351714243586	-0.0689825	-0.070753	0.00792983	0.00925607
Y4211	14	-0.039043960464707	-0.0327750961427034	-0.169085689790397	-0.0520023257383462	0.112135	-0.0112344	0.143761	-0.0107723
Y4212	24	-0.166975064355884	-0.0161784797158138	0.0994734867244774	-0.0052840984065126	0.0938599	-0.0125081	-0.126956	0.00339206
Y4213	22.66666667	-0.249043764886044	0.00047558616739562	0.0489768871467553	0.0223775309280594	0.0875846	-0.0149494	-0.131638	0.001358
Y4214	20	-0.293443763935309	0.010994360628661	-0.0304883159628552	-0.00580362282353556	0.0900442	-0.0149994	-0.126458	0.00468403
Y4215	35.66666667	0.0984685555147736	-0.101923623034948	0.000782816779714551	-0.0342042720688916	-0.0690257	-0.070519	0.0122554	0.0386991
Y4216	34.33333333	-0.120406721650077	0.0157871687811862	0.00976647722808673	-0.0589319482721174	0.0942816	-0.013086	0.0416996	0.00550141
