Dimensions	Genotype	MicrobiotaLN	MicrobiotaHN
1	31.18206884	25.44152331	21.95543433
2	12.88152382	12.79246741	12.35703966
3	4.64105281	10.69572993	7.743477877
4	2.132435812	5.232215631	4.684656456
5	1.627391206	3.747293038	4.449832237
6	1.379352229	3.537231341	3.94827531
7	1.273722103	2.992026569	2.412326481
8	1.109855712	2.761497783	2.302624696
9	0.986140768	2.506834131	2.226936313
10	0.953886277	2.270350684	2.002387728
11	0.868534905	1.912205862	1.771014769
12	0.840559194	1.660153041	1.658987791
13	0.806250161	1.560582376	1.565320173
14	0.741086634	1.431765155	1.515837016
15	0.708771537	1.365760615	1.435674406
16	0.667432212	1.255565566	1.300697499
17	0.653720114	1.173482985	1.262873328
18	0.62804743	1.054160521	1.097409296
19	0.608362614	1.018377321	1.033029586
20	0.599077782	0.946350761	0.958005408
21	0.561929359	0.867711157	0.937401955
22	0.545656659	0.835341468	0.876717477
23	0.540226365	0.770316199	0.853912243
24	0.516059739	0.762622236	0.797161964
25	0.512338533	0.752746827	0.752455308
26	0.490956751	0.711994123	0.741934559
27	0.48056889	0.658271647	0.732214116
28	0.478447681	0.595052704	0.713648661
29	0.463678009	0.570554785	0.695532451
30	0.454565903	0.551142618	0.634871747
31	0.450814394	0.524234162	0.616481316
32	0.437711386	0.490142075	0.597984175
33	0.436411388	0.475981442	0.581501979
34	0.420711415	0.470415158	0.571982073
35	0.415520514	0.465232363	0.527568432
36	0.413802335	0.439925951	0.504842346
37	0.407614467	0.435428024	0.485830654
38	0.402699324	0.415886985	0.467918737
39	0.396175092	0.400968151	0.461678212
40	0.390614495	0.390853589	0.445982413
41	0.387535713	0.375650944	0.427473444
42	0.379044818	0.371353203	0.416936377
43	0.376226641	0.351963942	0.408986357
44	0.372041799	0.345883853	0.401043597
45	0.369050895	0.335757117	0.393288
46	0.364208479	0.326146382	0.366641774
47	0.358714549	0.315380997	0.364247453
48	0.351629712	0.310059214	0.358004897
49	0.345999419	0.301481828	0.338724394
50	0.344635785	0.285295684	0.335477097
51	0.343141848	0.275418391	0.33206848
52	0.33746307	0.269475974	0.31587395
53	0.334553984	0.261472205	0.308250576
54	0.332869138	0.25851131	0.304381233
55	0.330575202	0.246971406	0.292973236
56	0.32546309	0.236522445	0.290123294
57	0.321532793	0.225635596	0.272094074
58	0.318114617	0.223160467	0.268278897
59	0.316296438	0.216232909	0.263729086
60	0.310950993	0.207562588	0.253891514
61	0.308223725	0.203747597	0.249556609
62	0.306511606	0.196037408	0.24509883
63	0.304914639	0.19221878	0.233656687
64	0.299010104	0.184911461	0.228882978
65	0.296353139	0.182343276	0.224928855
66	0.293605264	0.176078231	0.219010807
67	0.290977996	0.16767453	0.211515458
68	0.290576482	0.159236955	0.208392963
69	0.285252551	0.151845953	0.20223857
70	0.283267403	0.146709621	0.198194382
71	0.279471046	0.141660972	0.190981508
72	0.278060745	0.135103309	0.189193948
73	0.273813176	0.131930332	0.185622144
74	0.271273787	0.12938329	0.183682156
75	0.27107712	0.128197557	0.175218578
76	0.270147425	0.112221914	0.168412064
77	0.267846217	0.110042665	0.164428135
78	0.263985314	0.105564321	0.160861713
79	0.261812591	0.104190557	0.155185276
80	0.260358351	0.099660215	0.150258538
81	0.258146536	0.095546307	0.146433961
82	0.252907151	0.090845664	0.142142087
83	0.251898668	0.089404885	0.138482062
84	0.249699884	0.084038903	0.137375187
85	0.248318068	0.083432748	0.129012085
86	0.245556254	0.079352873	0.126200667
87	0.245406557	0.0761725	0.123125057
88	0.239312628	0.075029819	0.121511419
89	0.236623542	0.0729594	0.110662806
90	0.23415991	0.0704828	0.108879813
91	0.232627488	0.065341183	0.103999184
92	0.229922038	0.061872694	0.100488565
93	0.228683252	0.057678593	0.10016714
94	0.226321135	0.0541497	0.096165428
95	0.22532447	0.046052894	0.091110507
96	0.222175384	0.045531237	0.084599793
97	0.219692358	0.042048649	0.082805615
98	0.217821452	0.039279258	0.079908103
99	0.215544183	0.036707886	0.075820496
100	0.214498428	0.035961922	0.071447822
101	0.208440256	0.032633483	0.06948141
102	0.20651632	0.030670685	0.062755551
103	0.206110866	0.028816581	0.062638746
104	0.204910868	0.025952293	0.061712486
105	0.195530581	0.022255729	0.059739439
106	0.194226037	0.016508776	0.055394479
107	0.193203009	0.01342859	0.050184739
108	0.192492101	0.012261822	0.04907351
109	0.188673926	0.009765703	0.044244926
110	0.186968474	0.001884291	0.041510732
111	0.185177871	-6.97E-16	0.040393855
112	0.182870299	-0.000620144	0.035322401
113	0.180297273	-0.002517799	0.033691662
114	0.179015154	-0.004737043	0.031401702
115	0.174294253	-0.008892291	0.029120125
116	0.17265971	-0.011425701	0.024320119
117	0.171067288	-0.015366726	0.021999686
118	0.1693282	-0.01679766	0.019897668
119	0.168196384	-0.022219503	0.014168637
120	0.16567851	-0.024579381	0.010800719
121	0.16453336	-0.025846042	0.010523636
122	0.161186396	-0.029905915	0.009050492
123	0.160662457	-0.030598124	0.004713025
124	0.154470347	-0.035995973	0.001855695
125	0.150868534	-0.036871856	-1.04E-16
126	0.147588843	-0.038935447	-0.00046512
127	0.143137335	-0.039484977	-0.006264849
128	0.142788548	-0.043576916	-0.008448269
129	0.14152249	-0.046074974	-0.011945871
130	0.138591282	-0.054172852	-0.012570862
131	0.136564619	-0.055567676	-0.018791016
132	0.13507947	-0.057909673	-0.020395078
133	0.132049475	-0.063286242	-0.024187804
134	0.129429177	-0.06397683	-0.029079491
135	0.126576454	-0.070089863	-0.033789156
136	0.125426153	-0.074263065	-0.036882074
137	0.12134919	-0.076711054	-0.04408553
138	0.117121621	-0.07842241	-0.045878736
139	0.116059805	-0.083067356	-0.048620579
140	0.113915566	-0.086159596	-0.049506648
141	0.111471328	-0.087717437	-0.052193529
142	0.107187093	-0.091750277	-0.059028795
143	0.105361035	-0.100374416	-0.064340047
144	0.104240734	-0.106203433	-0.066570858
145	0.099009531	-0.107961496	-0.070523625
146	0.096495595	-0.113835065	-0.075394829
147	0.093331661	-0.120850164	-0.080723069
148	0.091811361	-0.125475498	-0.085043249
149	0.088492276	-0.132677053	-0.093885025
150	0.08626137	-0.137688896	-0.100944655
151	0.080574713	-0.141432823	-0.107787787
152	0.07896411	-0.161320676	-0.113176877
153	0.072344727	-0.175799166	-0.115298383
154	0.070162912	-0.182317068	-0.121036246
155	0.067878674	-0.186349746	-0.129360172
156	0.062520501	-0.199281125	-0.142934598
157	0.061748684	-0.224930422	-0.14740912
158	0.051480823	-0.232035172	-0.167804825
159	0.043497806	-0.28177506	-0.182648282
160	0.041735081	-0.311389677	-0.188808409
161	0.037668725	-0.341116544	-0.210411088
162	0.037502967	-0.35711998	-0.236309086
163	0.035526001	-0.446878341	-0.260940458
164	0.013151887	-0.54915447	-0.359800506
165	-5.36E-16	-1.021651868	-0.728317739
