ID	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
A4003	0.174	0.00692	1117.7	0.935	0.637	26.9	87.4	12640	1114	0.448	0.0651	4.47	6.45	1.94
A4005	0.0593	0.0171	1280.4	0.982	0.752	93.9	216.1	12640	1277	0.425	0.0177	5.38	7.76	2.33
A4006	0.168	0.00865	1218.8	0.942	0.661	31.4	109.4	12640	1216	0.423	0.0585	4.69	6.77	2.04
A4007	0.167	0.0107	1231.5	0.958	0.69	44.7	135.7	12640	1228	0.424	0.0416	4.91	7.08	2.13
A4009	0.222	0.00592	1100.6	0.923	0.616	22.2	74.8	12640	1097	0.45	0.0775	4.31	6.23	1.87
B4011	0.166	0.00971	1152.7	0.953	0.683	39.6	122.7	12640	1149	0.438	0.0466	4.81	6.94	2.09
B4012	0.199	0.00644	1033.5	0.939	0.634	27.9	81.4	12640	1030	0.454	0.0612	4.4	6.35	1.91
B4013	0.269	0.00276	774.1	0.89	0.535	13.6	34.9	12640	769	0.513	0.11	3.55	5.13	1.54
B4014	0.249	0.00391	978.3	0.892	0.567	15	49.4	12640	973	0.482	0.108	3.9	5.63	1.69
B4015	0.17	0.0125	1289.2	0.96	0.707	50	158.1	12640	1286	0.435	0.0399	5.06	7.31	2.2
B4018	0.0573	0.0194	1270.3	0.987	0.77	118.1	244.7	12640	1267	0.402	0.0134	5.5	7.93	2.39
B4019	0.139	0.00997	1103.8	0.964	0.691	48.2	126	12640	1100	0.439	0.0359	4.84	6.98	2.1
C4024	0.178	0.00717	1031.9	0.944	0.65	30.7	90.6	12640	1028	0.438	0.0564	4.51	6.5	1.96
C4025	0.158	0.0105	1150.2	0.958	0.694	44.8	132.5	12640	1147	0.428	0.0416	4.89	7.05	2.12
C4026	0.244	0.00399	789.4	0.92	0.588	20.3	50.5	12640	785	0.51	0.0798	3.92	5.66	1.7
C4029	0.135	0.0116	1240.2	0.96	0.7	47.6	146.4	12640	1237	0.419	0.0396	4.99	7.19	2.17
C4030	0.108	0.0127	1234.7	0.97	0.713	59.8	160.2	12640	1232	0.424	0.0297	5.08	7.32	2.2
D4031	0.154	0.00986	1161	0.96	0.684	44.5	124.6	12640	1158	0.437	0.04	4.83	6.96	2.1
D4033	0.231	0.00507	1063.4	0.909	0.597	18.8	64.1	12640	1060	0.451	0.0914	4.16	6	1.81
D4034	0.0931	0.0151	1318.4	0.975	0.732	71.4	191.4	12640	1315	0.43	0.0253	5.25	7.58	2.28
