rownames	tiller_raw	height	wetWeight	Latitude	Longitude	Subspecies	tiller_cat	soil
A4001	35.66666667	106	234.1466667	-6.35	108.1	TRJ	T4	HN
A4002	19.33333333	76	114.4566667	-5.12713	108.295	IND	T2	HN
A4003	19	74.33333333	76.89	31.0886	-99.1713	TRJ	T2	HN
A4005	22.33333333	78.33333333	64.88666667	16.3093	99.4677	TRJ	T2	HN
A4006	27.33333333	62.33333333	83.06333333	33.285	-91.4786	TRJ	T3	HN
A4007	17	65	45.62333333	14.733	121.117	TRJ	T2	HN
A4008	34.66666667	83.66666667	NA	25.6962	123.097	TRJ	T4	HN
A4009	19	85.66666667	96.59	4.48964	157.9	TRJ	T2	HN
A4010	40	92	156.0533333	28.8086	105.512	IND	T5	HN
B4011	14.66666667	79.66666667	74.99	9.96527	-67.2544	TRJ	T1	HN
B4012	25	66	86.29	40.6773	3.46707	TEJ	T3	HN
B4013	22.33333333	73.66666667	75.26666667	13.0989	-90.6469	TRJ	T2	HN
B4014	24	71.33333333	80.7	10	-84.5	IND	T3	HN
B4015	31	72.33333333	99.79	17	-88.5	TRJ	T4	HN
B4017	19.66666667	105.6666667	108.0933333	40.5641	138.369	TEJ	T2	HN
B4018	33	81.33333333	97.06333333	4.23817	-54.7294	IND	T4	HN
B4019	20	58.66666667	49.57666667	20.8999	-79.9175	IND	T2	HN
B4020	25	92.33333333	136.6333333	50.794	22.2258	TEJ	T3	HN
C4021	18.33333333	108	147.32	44.8336	38.1651	TEJ	T2	HN
C4022	20	83	109.1	40.3141	-8.37204	TEJ	T2	HN
C4024	27	82	110.2133333	32.8781	64.6634	AUS	T3	HN
C4025	29.33333333	65.33333333	86.63	43.656	142.192	TEJ	T3	HN
C4026	19.33333333	63.66666667	47.10333333	15.637	-11.5133	TRJ	T2	HN
C4027	23.66666667	97.33333333	164.2933333	40.0171	69.2705	TEJ	T3	HN
C4029	25	64.66666667	64.44	24.9415	93.2684	AUS	T3	HN
C4030	18.33333333	83.66666667	65.64333333	18.2735	102.844	TRJ	T2	HN
D4031	18	84.66666667	67.18	19.4263	104.426	TRJ	T2	HN
D4033	17	83.33333333	59.11333333	-5.20328	149.354	TRJ	T2	HN
D4034	40.33333333	60.33333333	93.24333333	19.2231	78.1418	IND	T5	HN
D4035	25	67.33333333	78.93	1.8331	113.502	TRJ	T3	HN
D4036	30	76.66666667	96.98333333	30.6447	74.6999	AUS	T4	HN
D4037	27.66666667	78.33333333	93.66333333	37.1662	126.366	IND	T3	HN
D4039	23.66666667	61	49.92666667	-32.211	-56.0197	AUS	T3	HN
D4040	29.33333333	79.66666667	97.69	22.0908	121.428	IND	T3	HN
E4041	35.33333333	104	124.2566667	16.8168	105.544	IND	T4	HN
E4042	33	88.66666667	91.77	-1.96229	101.791	TRJ	T4	HN
E4043	35.66666667	73	97.52333333	3.80502	-57.1456	IND	T4	HN
E4044	24.33333333	102.3333333	180.47	7.02404	81.393	IND	T3	HN
E4045	31.33333333	70.33333333	94.35	1.97136	110.966	IND	T4	HN
E4046	25.66666667	92.66666667	133.9133333	16.8504	97.1346	AUS	T3	HN
E4047	34.33333333	95.33333333	111.3033333	2.75086	-56.5343	IND	T4	HN
E4048	20.66666667	51	29.41333333	9.40946	-10.4584	IND	T2	HN
E4050	30	110	130.3933333	35.5537	103.395	IND	T4	HN
F4054	30.66666667	88.66666667	109.9066667	15.1354	100.393	IND	T4	HN
F4055	26.66666667	99.33333333	149.1266667	13.5779	18.2232	IND	T3	HN
F4056	33.33333333	65.33333333	91.31333333	2.89662	102.324	IND	T4	HN
