rownames	tiller_raw	height	wetWeight	Latitude	Longitude	Subspecies	tiller_cat	soil
A4001	14.33	69.67	50.20	-6.35	108.10	TRJ	T3	LN
A4002	10.00	56.00	42.20	-5.13	108.30	IND	T2	LN
A4003	11.00	65.33	31.90	31.09	-99.17	TRJ	T2	LN
A4005	10.67	66.33	29.96	16.31	99.47	TRJ	T2	LN
A4006	9.33	44.67	18.96	33.29	-91.48	TRJ	T2	LN
A4007	9.33	61.00	21.24	14.73	121.12	TRJ	T2	LN
A4008	16.67	63.00	51.12	25.70	123.10	TRJ	T3	LN
A4009	12.00	67.67	33.81	4.49	157.90	TRJ	T2	LN
A4010	19.00	63.33	48.13	28.81	105.51	IND	T4	LN
B4011	8.67	71.00	34.00	9.97	-67.25	TRJ	T2	LN
B4012	13.00	56.33	26.93	40.68	3.47	TEJ	T3	LN
B4013	11.00	66.00	34.51	13.10	-90.65	TRJ	T2	LN
B4014	9.33	55.67	19.77	10.00	-84.50	IND	T2	LN
B4015	14.67	55.67	20.77	17.00	-88.50	TRJ	T3	LN
B4017	9.33	89.33	53.39	40.56	138.37	TEJ	T2	LN
B4018	17.33	68.67	35.80	4.24	-54.73	IND	T3	LN
B4019	12.00	56.00	22.35	20.90	-79.92	IND	T2	LN
B4020	10.67	82.00	50.04	50.79	22.23	TEJ	T2	LN
C4021	6.67	92.33	57.21	44.83	38.17	TEJ	T1	LN
C4022	8.67	66.67	46.72	40.31	-8.37	TEJ	T2	LN
C4024	18.67	69.33	62.32	32.88	64.66	AUS	T4	LN
C4025	17.33	56.33	36.81	43.66	142.19	TEJ	T3	LN
C4026	12.00	50.33	17.30	15.64	-11.51	TRJ	T2	LN
C4027	9.33	87.67	45.68	40.02	69.27	TEJ	T2	LN
C4029	14.67	57.00	23.66	24.94	93.27	AUS	T3	LN
C4030	7.33	69.00	25.14	18.27	102.84	TRJ	T1	LN
D4031	12.33	69.67	29.16	19.43	104.43	TRJ	T2	LN
D4033	8.67	70.67	22.91	-5.20	149.35	TRJ	T2	LN
D4034	22.00	48.67	32.50	19.22	78.14	IND	T4	LN
D4035	13.67	54.67	26.28	1.83	113.50	TRJ	T3	LN
D4036	20.33	54.33	27.02	30.64	74.70	AUS	T4	LN
D4037	15.67	66.67	34.87	37.17	126.37	IND	T3	LN
D4039	11.33	45.67	13.50	-32.21	-56.02	AUS	T2	LN
D4040	16.67	62.33	28.20	22.09	121.43	IND	T3	LN
E4041	21.33	61.00	47.41	16.82	105.54	IND	T4	LN
E4042	19.33	68.67	45.86	-1.96	101.79	TRJ	T4	LN
E4043	20.33	55.67	36.51	3.81	-57.15	IND	T4	LN
E4044	9.00	70.67	39.45	7.02	81.39	IND	T2	LN
E4045	24.67	53.00	44.08	1.97	110.97	IND	T5	LN
E4046	14.00	70.00	55.70	16.85	97.13	AUS	T3	LN
E4047	17.00	57.00	42.41	2.75	-56.53	IND	T3	LN
E4048	10.67	59.33	27.88	9.41	-10.46	IND	T2	LN
E4050	14.67	70.00	52.68	35.55	103.40	IND	T3	LN
F4054	15.33	63.00	52.94	15.14	100.39	IND	T3	LN
F4055	10.00	67.00	52.40	13.58	18.22	IND	T2	LN
F4056	22.00	47.67	39.77	2.90	102.32	IND	T4	LN
F4057	13.67	46.33	28.90	0.33	-81.40	IND	T3	LN
F4058	8.00	62.33	25.50	1.16	23.71	TRJ	T2	LN
F4060	12.00	48.67	34.83	48.40	67.02	IND	T2	LN
G4061	8.50	49.00	19.33	13.96	99.69	IND	T2	LN
G4062	20.67	49.33	41.86	16.01	122.16	IND	T4	LN
G4063	6.33	58.33	18.61	9.29	-13.49	TRJ	T1	LN
G4065	11.00	67.00	50.38	15.66	120.45	IND	T2	LN
G4066	9.33	71.67	26.49	7.72	81.70	IND	T2	LN
G4068	8.67	81.00	38.82	27.45	82.96	AUS	T2	LN
G4069	11.67	76.00	56.33	31.24	51.01	AUS	T2	LN
G4070	10.33	54.67	14.55	27.30	90.62	AUS	T2	LN
H4071	7.00	65.67	24.83	39.18	71.25	TEJ	T1	LN
H4074	11.67	55.00	42.41	29.05	77.22	IND	T2	LN
H4075	8.67	71.33	33.41	47.66	18.96	TEJ	T2	LN
H4076	26.67	44.00	42.37	23.32	-83.67	IND	T5	LN
H4077	14.33	62.33	31.47	-10.09	-76.21	TRJ	T3	LN
H4079	13.33	92.67	65.27	31.30	75.17	IND	T3	LN
H4080	24.67	61.00	55.19	23.53	114.03	IND	T5	LN
J4083	14.33	67.00	57.21	36.72	138.22	TEJ	T3	LN
J4085	5.67	74.00	37.73	19.83	-72.10	TRJ	T1	LN
J4086	9.67	60.33	22.33	34.04	-92.11	TRJ	T2	LN
J4087	24.00	60.67	44.72	22.51	121.95	IND	T5	LN
J4088	18.67	74.00	67.87	29.85	107.39	IND	T4	LN
J4089	15.67	61.33	47.55	35.23	138.59	TEJ	T3	LN
J4090	10.33	61.00	30.90	37.53	43.50	TEJ	T2	LN
K4091	6.00	87.67	50.32	38.19	138.72	TEJ	T1	LN
K4092	14.00	61.67	32.59	17.97	96.81	TRJ	T3	LN
K4093	19.33	53.33	39.97	28.74	81.74	IND	T4	LN
K4094	5.00	60.50	15.40	43.07	10.92	TEJ	T1	LN
K4096	26.67	51.00	36.29	17.77	-97.50	IND	T5	LN
K4097	13.00	80.00	76.45	21.54	84.50	AUS	T3	LN
K4098	12.00	78.33	54.17	22.61	122.79	TRJ	T2	LN
L4101	10.00	87.00	58.26	46.38	19.05	TEJ	T2	LN
L4103	10.33	87.00	40.76	38.42	-9.10	TEJ	T2	LN
L4105	8.33	40.67	12.52	15.42	120.85	IND	T2	LN
L4106	21.33	70.33	36.94	25.94	92.20	AUS	T4	LN
L4107	9.33	67.00	27.25	-8.15	122.09	TRJ	T2	LN
L4108	10.67	94.00	60.37	36.16	67.81	TEJ	T2	LN
L4109	9.67	89.67	52.89	25.75	93.25	AUS	T2	LN
L4110	18.67	76.67	61.61	23.36	119.98	IND	T4	LN
M4111	22.33	46.33	28.28	21.18	78.33	AUS	T4	LN
M4112	11.67	53.33	17.08	24.30	113.76	IND	T2	LN
M4113	12.00	55.00	26.56	12.26	104.51	IND	T2	LN
M4114	20.33	62.33	42.44	41.71	12.31	IND	T4	LN
M4115	11.67	70.00	34.08	20.69	83.36	IND	T2	LN
M4116	20.33	49.67	34.45	12.85	-7.96	AUS	T4	LN
M4117	14.33	51.67	18.52	15.73	100.49	IND	T3	LN
M4118	15.00	43.33	15.38	14.64	120.46	IND	T3	LN
M4119	22.67	52.33	35.53	25.71	121.30	IND	T5	LN
N4121	29.33	66.33	64.50	19.46	76.76	IND	T6	LN
N4122	15.00	65.67	41.16	27.10	85.10	AUS	T3	LN
N4123	8.33	94.33	59.39	39.32	-3.41	TEJ	T2	LN
N4124	25.33	61.33	42.20	-7.05	108.77	AUS	T5	LN
N4126	25.33	36.33	37.91	-6.30	106.04	IND	T5	LN
N4127	14.33	53.33	26.40	17.73	-69.71	IND	T3	LN
N4128	22.33	63.67	44.98	-19.50	178.33	AUS	T4	LN
N4129	9.00	47.00	14.20	-0.41	26.62	TRJ	T2	LN
N4130	23.33	62.67	50.42	19.39	83.47	IND	T5	LN
P4132	12.33	83.33	50.66	27.74	29.05	AUS	T2	LN
P4134	23.67	60.00	48.79	-34.50	-58.21	AUS	T5	LN
P4135	21.33	65.00	43.54	40.26	70.69	IND	T4	LN
