OTUID	tiller	height	wetWeight
B4017	19.6666666666667	105.666666666667	108.093333333333
E4041	35.3333333333333	104	124.256666666667
E4042	33	88.6666666666667	91.77
E4046	25.6666666666667	92.6666666666667	133.913333333333
E4047	34.3333333333333	95.3333333333333	111.303333333333
E4048	20.6666666666667	51	29.4133333333333
E4050	30	110	130.393333333333
F4054	30.6666666666667	88.6666666666667	109.906666666667
F4055	26.6666666666667	99.3333333333333	149.126666666667
F4060	33.6666666666667	67.6666666666667	111.826666666667
J4086	30	67.8333333333333	98.34
H4074	26.3333333333333	70.1666666666667	124.793333333333
H4071	30.6666666666667	84.6666666666667	149.953333333333
J4083	32.6666666666667	79.6666666666667	136.406666666667
J4085	16.3333333333333	102.666666666667	120.706666666667
J4088	28.6666666666667	112.666666666667	180.44
J4089	47.3333333333333	77	136.773333333333
J4090	27.6666666666667	82	117.236666666667
K4091	15.3333333333333	101.666666666667	116.496666666667
K4098	37.3333333333333	93.6666666666667	174.27
N4123	13	112.666666666667	142.2
P4138	10.6666666666667	109.333333333333	111.793333333333
P4139	21	100.333333333333	148.86
P4140	29	69.6666666666667	120.423333333333
Q4145	36.3333333333333	76	155.333333333333
Q4147	27	73	129.23
Q4148	23.6666666666667	75.6666666666667	102.31
Q4149	26	90.3333333333333	129.503333333333
Q4150	44	101.666666666667	173.923333333333
S4170	31	95.6666666666667	158.953333333333
T4171	41.3333333333333	97.3333333333333	182.446666666667
T4173	29	104.333333333333	163.22
T4175	29	103.333333333333	150.533333333333
G4061	27	60	86.93
T4177	22.6666666666667	98	181.46
T4178	33	107	184.576666666667
T4179	25.6666666666667	88	128.64
W4195	27.3333333333333	93.3333333333333	149.683333333333
W4196	22.6666666666667	88.6666666666667	138.326666666667
W4197	17	97.6666666666667	123.333333333333
W4198	18.6666666666667	77	77.92
W4199	27.6666666666667	84.6666666666667	133.076666666667
X4204	47.6666666666667	85	209.886666666667
Y4211	14	105.666666666667	142.576666666667
A4001	35.6666666666667	106	234.146666666667
A4002	19.3333333333333	76	114.456666666667
A4008	34.6666666666667	83.6666666666667	NA
A4010	40	92	156.053333333333
B4020	25	92.3333333333333	136.633333333333
C4021	18.3333333333333	108	147.32
C4022	20	83	109.1
C4027	23.6666666666667	97.3333333333333	164.293333333333
E4044	24.3333333333333	102.333333333333	180.47
F4058	17.6666666666667	74.6666666666667	84.9166666666667
G4065	20.3333333333333	77	81.1166666666667
G4068	26	108.666666666667	181.216666666667
G4069	29.6666666666667	89.3333333333333	179.82
H4079	23.6666666666667	107	118.46
K4097	20	93.3333333333333	127.663333333333
L4101	29.3333333333333	90.3333333333333	129.996666666667
L4103	29	92	126.276666666667
L4107	23.6666666666667	80.6666666666667	105.643333333333
L4108	24	97.6666666666667	132.606666666667
L4109	22	104	158.49
L4110	39.3333333333333	96.6666666666667	196.296666666667
R4155	27	102	176.236666666667
R4158	28.3333333333333	100	180.19
S4166	39.6666666666667	113.666666666667	234.733333333333
X4206	20	105.666666666667	158.186666666667
X4210	42.6666666666667	79.3333333333333	178.226666666667
Y4216	34.3333333333333	73	136.01
A4003	19	74.3333333333333	76.89
A4005	22.3333333333333	78.3333333333333	64.8866666666667
A4006	27.3333333333333	62.3333333333333	83.0633333333333
A4007	17	65	45.6233333333333
A4009	19	85.6666666666667	96.59
B4011	14.6666666666667	79.6666666666667	74.99
B4012	25	66	86.29
B4013	22.3333333333333	73.6666666666667	75.2666666666667
B4014	24	71.3333333333333	80.7
B4015	31	72.3333333333333	99.79
B4018	33	81.3333333333333	97.0633333333333
B4019	20	58.6666666666667	49.5766666666667
C4024	27	82	110.213333333333
C4025	29.3333333333333	65.3333333333333	86.63
C4026	19.3333333333333	63.6666666666667	47.1033333333333
C4029	25	64.6666666666667	64.44
C4030	18.3333333333333	83.6666666666667	65.6433333333333
D4031	18	84.6666666666667	67.18
D4033	17	83.3333333333333	59.1133333333333
D4034	40.3333333333333	60.3333333333333	93.2433333333333
D4035	25	67.3333333333333	78.93
D4036	30	76.6666666666667	96.9833333333333
D4037	27.6666666666667	78.3333333333333	93.6633333333333
D4039	23.6666666666667	61	49.9266666666667
E4043	35.6666666666667	73	97.5233333333333
E4045	31.3333333333333	70.3333333333333	94.35
F4056	33.3333333333333	65.3333333333333	91.3133333333333
G4062	31	59	74.4133333333333
G4063	15.6666666666667	74.3333333333333	59.16
G4066	32.3333333333333	85.3333333333333	125.313333333333
G4070	35.6666666666667	71.6666666666667	97.7733333333333
H4075	19.3333333333333	88	96.7466666666667
H4076	38.6666666666667	53.3333333333333	94.4933333333333
H4077	25	70.6666666666667	84.4866666666667
H4080	28.3333333333333	80	82.47
K4092	20.6666666666667	69.6666666666667	64.9333333333333
K4093	31.6666666666667	70.3333333333333	98.0333333333333
K4094	10.6666666666667	56	44.8
K4096	31.3333333333333	70	84.1766666666667
L4105	44	66.3333333333333	129.393333333333
L4106	24	81.6666666666667	69.2
M4111	38	58.3333333333333	69.6166666666667
M4112	34	62.6666666666667	92.4733333333333
M4113	43.3333333333333	69	80.3866666666667
M4114	25	76.3333333333333	83.59
M4115	23	87	99.6233333333333
M4116	26.3333333333333	58	87.22
M4117	21.3333333333333	65.6666666666667	46.24
M4118	23.6666666666667	57.3333333333333	54.6833333333333
M4119	23.6666666666667	64	57.1933333333333
N4121	30.6666666666667	73.6666666666667	94.72
N4122	28.3333333333333	82	122.133333333333
N4124	28.3333333333333	73	83.3233333333333
N4126	41.6666666666667	42	90.0466666666667
N4127	18	68	57.6533333333333
N4128	32.6666666666667	75	107.46
N4129	15.5	63.5	36.06
N4130	34.3333333333333	71.6666666666667	98.3166666666667
P4132	24	94	150.926666666667
P4134	42	71.3333333333333	113.79
P4135	32.6666666666667	80.6666666666667	92.2066666666667
Q4141	40	68	131.37
S4168	32.6666666666667	87	132.086666666667
S4169	27	75.3333333333333	79.8166666666667
T4172	19.6666666666667	84	87.74
T4174	30.3333333333333	92.6666666666667	152.453333333333
W4193	23.3333333333333	72.6666666666667	78.36
W4194	23.6666666666667	79.3333333333333	104.713333333333
W4200	39.3333333333333	78.3333333333333	92.54
X4203	36	74.3333333333333	101.526666666667
X4205	14.6666666666667	85	57.94
X4208	29.6666666666667	93.3333333333333	119.056666666667
X4209	17.3333333333333	78	64.2333333333333
Y4212	24	53.6666666666667	73.2966666666667
Y4213	22.6666666666667	66.3333333333333	87.4966666666667
Y4214	20	62	115.1
Y4215	35.6666666666667	54	81.0633333333333
D4040	29.3333333333333	79.6666666666667	97.69
F4057	30.3333333333333	55.3333333333333	95.97
J4087	33.6666666666667	78.6666666666667	99.0733333333333
Q4142	14	87.3333333333333	61.6533333333333
Q4143	24.3333333333333	69.3333333333333	77.9366666666667
Q4144	31.3333333333333	61.3333333333333	76.5666666666667
Q4146	27.3333333333333	62	74.63
R4151	25.3333333333333	89.6666666666667	90.4766666666667
R4152	23	78.6666666666667	77.83
R4153	23	86	73.5
R4154	37.6666666666667	63	75.5633333333333
R4156	33.3333333333333	77.3333333333333	122.063333333333
R4157	28.3333333333333	79.6666666666667	90.9833333333333
S4161	30.3333333333333	69.3333333333333	62.31
S4162	39.6666666666667	72.3333333333333	113.706666666667
S4165	28	78.3333333333333	104.8
S4167	16	92.3333333333333	66.57
