Samples	PC1	PC2	PC3	PC4
A4001	0.00460681463054802	0.0924336740474721	-0.141175817866038	-0.0121679540145327
A4002	0.0828080521735985	-0.0543808136566138	-0.0575187556854001	-0.0900882835042867
A4003	-0.135186814338631	-0.0765271559958018	-0.0118508622110475	0.0688659927394319
A4005	0.0981555918921418	0.110072194979731	0.0624478835674524	0.0268393405819187
A4006	-0.0978922627924531	-0.036678777506951	0.0585594966241583	0.0802190733992898
A4007	-0.0247549670406443	0.0206112492832128	0.0401092018292403	-0.0403386003854722
A4008	0.228508728549318	0.250387899892587	0.154127323963295	-0.0543712707751264
A4009	-0.118371059607275	0.0378915775164905	0.0333861100715704	0.116745403753291
A4010	0.208459573666754	0.211760139984999	0.00087662891478026	-0.00363396698169034
B4011	-0.0291607415140628	-0.0299373797148773	0.126672162343628	-0.0235340903017506
B4012	-0.0908309090386871	-0.0995898741817617	-0.0431071665736079	-0.0372973670472224
B4013	-0.286923021320352	0.0086848238966599	-0.00833481864657754	-0.00470892824885966
B4014	-0.170586542259278	-0.0457744881137108	0.0994178272635359	0.0590657317719229
B4015	-0.0500650225541491	0.0419571572058684	0.0771287689158703	-0.0701047210708929
B4017	0.211014730030369	0.137945955013223	0.0134141163300185	0.0250179253760966
B4018	0.198648678342206	0.04832287388226	0.0211838197743104	0.0237674662645816
B4019	0.0315789233800688	0.013498094304537	-0.00434538166660431	-0.0079125014243154
B4020	-0.14246841659988	0.140247806336259	-0.0694941903717495	0.0181463338113513
C4021	-0.073724419494031	-0.0100098202777593	-0.0477394623858889	-0.00213310068013689
C4022	0.0396443647738944	0.0486690857807397	-0.000369208798240151	-0.0492045514267754
C4024	-0.117047244865722	0.0131249212571281	-0.0253137670237959	0.112786090023663
C4025	-0.042289861147943	0.0253643439770267	-0.0398816840462875	0.0233915170125529
C4026	-0.237071012946057	0.0554898786494956	-0.135987790913153	-0.0795804293992072
C4027	-0.0917364406396287	0.0489578468887711	-0.0100277401497693	0.0617165896813358
C4029	-0.0824234908743787	0.0131046576632093	0.0678242565239076	0.0594888435819687
C4030	-0.0664060398735733	0.075597258549077	0.128522752290137	0.0330922390597789
D4031	-0.0215502700870478	0.0725483806111425	0.111631586505121	0.139997921686041
D4033	-0.244693138921357	0.0430591352291751	0.0670049331650607	0.00301010037138225
D4034	0.127754640159911	0.0238842063020268	0.0639988343782069	0.0207485788095716
D4035	0.0494167813664833	-0.0175533082679022	0.0978185009766219	-0.0119474214960684
D4036	0.0645797003918846	-0.110880511203586	0.0283560348776927	-0.0451318359895494
D4037	0.209222127110211	-0.102380263146476	0.00404074967506239	0.00490012901546288
D4039	0.250537349984623	-0.11202066192136	0.0952247833692408	-0.0100913864782618
D4040	-0.0806178093092922	-0.0799002316880418	-0.0519461594050009	0.00284884086926069
E4041	0.154901003870451	0.198119822651079	0.00610666447405467	-0.0345644413773416
E4042	0.117831627092266	0.135354610129614	-0.0202272761823163	-0.024074798353553
E4043	0.254413721724689	-0.096512642259811	0.00934619051931108	0.0110046146901278
E4044	0.0963627382743811	0.0100929121880867	-0.00604280632565472	-0.0298181669616269
E4045	0.197864398472016	-0.0359088328117319	0.0309724553125629	-0.00474481675620597
E4046	0.166879223650847	0.0797843586714662	-0.0483466485405546	0.0255680164675522
E4047	0.14530400947239	-0.0189729823114557	-0.0680195948658724	-0.0201658175305217
E4048	0.158225651337713	0.166346796115412	-0.112577563899387	0.0210157559629054
E4050	0.160548677638392	0.0123319470782342	-0.0867286490729064	-0.00349144138745692
F4054	0.0542335034998549	0.102499094433783	-0.0843667016016115	-0.00605432042719201
F4055	0.0962098567976098	0.117657338230279	-0.0115818158199358	0.0585374348127094
F4056	0.268025214348	-0.1301417181967	0.0768873991903539	0.00332446992945778
F4057	0.121289723979613	-0.126816657926514	0.0332362196023677	-0.0679589540791531
F4058	-0.142584021773127	0.105038658769035	0.0358232956870724	-0.0502562717883393
F4060	0.0239425783408742	0.122399782508988	-0.0444292956418432	-0.0456468034868561
G4061	0.125891846046752	0.115020448285957	0.0997403952297079	-0.0572133861569811
G4062	-0.0638387553631821	-0.0807560165535806	-0.0591109562108745	0.0648798378256764
G4063	0.0810028327203801	-0.0774310396852089	0.0682708019768618	-0.0640381611608387
G4065	-0.0974803685671206	0.0872092848161682	0.158605287368307	-0.0748776877140864
G4066	0.153755611027701	-0.169843340356129	0.04558658353173	0.000185970471604306
G4068	0.00208955941196692	0.085047347963132	0.127243245979062	-0.0658275115929703
G4069	0.0373392004029499	0.151184018848106	0.107566835644266	-0.0503245755095212
G4070	0.0492246649819778	-0.205999258115187	0.0477080312320565	0.146857171685129
H4071	-0.214535479420794	0.0344294797702949	-0.0532468083215231	0.116221755869703
H4074	0.142273870070317	0.0723057817989473	-0.0897032055950342	0.0362674045023548
H4075	-0.00056880451879422	-0.0908582790027475	-0.175020328314295	-0.0883463393288846
H4076	-0.0441586582888371	-0.137963594712529	0.00630292829652767	0.10639846744964
H4077	-0.143101801648522	-0.0273726885863606	-0.0234748589997389	-0.100619506215436
H4079	0.134589952412076	0.0407979365876242	-0.0321809459366877	-0.00487572760961012
H4080	0.169708938827519	-0.0992948537868825	-0.0139674496839848	0.00701288339368202
J4083	-0.077305516797144	0.0994994339945742	-0.0439915861842637	0.0859864250196328
J4085	-0.0322630685263187	0.092044861343477	-0.0408139310777532	-0.0682900026217644
J4086	-0.00234348197194552	0.0961415736894959	-0.0706110806408369	-0.0121180810324382
J4087	-0.0987072002739067	-0.102607990363835	-0.0399268112142543	0.010946471747131
J4088	0.238906502215184	0.120061890436544	-0.0380109502568494	0.0203399221504203
J4089	0.0814518276426347	-0.00271678848847061	-0.0417902373667422	-0.0258703418255204
J4090	0.0831645370987974	0.256009317584227	0.304948044020786	-0.0909656612509101
K4091	-0.0876232922308073	0.0953169782224946	-0.118980359977323	-0.0325173873922183
K4092	-0.101662688212372	0.0299401885972541	0.113160116907998	0.120360949510547
K4093	0.0754887544391094	-0.136647118625993	0.00105367258406109	-0.0252066297287355
K4094	-0.124381138975167	-0.0223711119762785	-0.0782077564387807	-0.112750398415309
K4096	-0.136002241723867	-0.0653105756759123	-0.00349662521106836	0.0186274482986097
K4097	-0.162230327892094	-0.0416691784347503	-0.0565007996635387	-0.00150474556330961
K4098	-0.0875775273554026	0.0846852912360639	-0.0583145988602924	0.035197884987398
L4101	-0.15734344915463	0.0280187569835038	-0.101220538840938	0.0469260098114925
L4103	-0.168714792938712	0.00677465654806294	-0.0913877214438226	0.036102613287617
L4105	-0.0129244444929713	-0.0779325038990573	-0.0370236977980486	-0.0214439346955498
L4106	-0.0408570563181032	-0.0485594152293764	0.0808914678359689	0.0464855029637646
L4107	-0.0686228221602039	0.0985454987814389	0.0223114914843272	0.0970401482425887
L4108	-0.151109909972674	0.0566111294849403	-0.148604719685875	0.113337983828022
L4109	0.058906335130796	0.0600710115632384	0.0424933695412801	0.043768373668828
L4110	0.200942851339565	0.0490789590850179	-0.0652546727040116	0.037892511502334
M4111	-0.0584017808330138	-0.104419018232528	0.049140371050985	-0.0475131998057711
M4112	0.00170465215559454	0.0215758585985423	0.0239960907133982	-0.0278218332971163
M4113	0.163188092795186	-0.0454721736156444	0.00798089340144298	0.0174075788287077
M4114	0.179353735457047	-0.0887161512785937	-0.0161591607836186	0.0112839752901348
M4115	-0.0520924370151922	-0.167629952114783	0.0531555101345647	0.0843004181428061
M4116	-0.0409608793361058	-0.0944549254546355	0.0466498734183972	0.00522267459755883
M4117	-0.104942779571077	-0.0162262991991292	0.00171590243518099	-0.0574619056880807
M4118	-0.0545840054202675	-0.0530655829835852	0.0105574879485934	0.0156692902787
M4119	-0.0990493196939049	-0.0797859873538772	0.0121748544626877	0.034470287386346
N4121	0.266368408950581	-0.0999132624521109	0.0376210092416193	0.0222426202905279
N4122	-0.0543012299407389	-0.136874651511872	-0.0369419378977205	0.0112615326755743
N4123	-0.169826228216469	0.110818919220594	-0.201785754915464	-0.11560734189271
