feature	env	rho	pvalue	r2	slope	intercept	mean	median	FDR
Desulfovibrio	tiller	0.226546832890016	0.00343279097450501	0.085078133677053	7.56051231007719	23.5496079030598	0.512883871512848	0.436919825212074	0.0100343120793223
Azospirillum	tiller	-0.0706312242659717	0.367320581122805	0.00703742447372117	-1.12807716972786	27.9398129094634	0.454348510850823	0.321826284608094	0.536853157025638
Massilia	tiller	0.210146195281461	0.00674506230091833	0.016642415256571	3.05593837793116	26.1764428560088	0.409311221815528	0.343140207088616	0.0170874911623264
Dechloromonas	tiller	0.227695785997165	0.00326831328454409	0.0315151756112357	3.82156210055122	25.5767820840668	0.484223622308526	0.375699737013182	0.0100343120793223
Acidaminobacter	tiller	0.0712671564508587	0.363011852407153	0.0183354389012834	2.2762861411357	26.1752028732922	0.550049412221874	0.408936892858694	0.536853157025638
Pantoea	tiller	-0.0279422723674586	0.721641432626663	0.00255787034729272	0.607880560354559	27.1625246870059	0.435526413465895	0.179904524668758	0.806540424700388
Pseudogulbenkiania	tiller	-0.092476029213632	0.237452258391197	0.01350276324133	-2.1802486397719	28.673164669583	0.571444889166682	0.457410626407873	0.392312426907195
Piscinibacter	tiller	0.372140567437513	8.57379630018542e-07	0.0970472993851788	7.76085548746613	23.5638846795216	0.497804404938423	0.402901691987155	3.25804259407046e-05
Micromonospora	tiller	0.0468024712205024	0.550543786662494	0.00320062567148851	1.2979979863587	26.8763070121607	0.424473474460168	0.313606142046204	0.721402203212923
Methylosinus	tiller	-0.0829797981838498	0.289317426661364	0.0317250129327898	-1.86198993218606	28.1810953349017	0.404847842943987	0.18309878545673	0.45808592554716
Gallionella	tiller	-0.0122670784067896	0.875732368337942	0.000103971552646152	-0.261330941576927	27.5438798049283	0.446204635975803	0.356095932244147	0.906243912355398
Georgfuchsia	tiller	0.290014468132114	0.000157764913033132	0.0563383292268875	6.62673104516853	24.7352786888235	0.406232578340707	0.339728485597026	0.00149876667381475
