feature	env	rho	pvalue	r2	slope	intercept	mean	median	FDR
Unassigned	tiller	0.293314368335204	0.000131574576442152	0.0968633433684846	0.397990493463666	17.169640239883	25.773561569571	25.6897985809835	0.00149876667381475
Clostridium_sensu_stricto	tiller	0.0501037074155773	0.522756212097858	3.79417160512437e-05	0.0252295093225278	27.3716019772731	2.20657283849424	1.51039948555994	0.709454859275665
Paenibacillus	tiller	-0.242437121560279	0.00170437293978226	0.055429001479268	-2.21250475460219	29.2174292512416	0.80910855456703	0.467628609358448	0.00647661717117259
Gaiella	tiller	-0.00776612140913395	0.921137683050813	0.00216583227680793	0.924226674217545	26.5927847587306	0.902904008097975	0.842210215669831	0.921137683050813
Sphingomonas	tiller	0.20138475984346	0.00949221894219571	0.0297786538960714	9.1880371273457	23.1120043749063	0.469661614614419	0.442118593891625	0.0212179011649081
Bacillus	tiller	-0.138032019912077	0.0770530007984762	0.0115693577242952	-0.687746057690925	28.5315941541405	1.60571102446664	1.25984440921546	0.154106001596952
Geobacter	tiller	0.233965596383035	0.002489713628259	0.054828907810786	6.09261243978711	23.0790551582097	0.71368688096218	0.683583424261255	0.008600828897622
Rhizobium	tiller	-0.0151942368460486	0.846410071412232	0.00103043856810896	-0.329407188870803	27.6884345037521	0.792823548795745	0.599657223937653	0.906243912355398
Burkholderia	tiller	-0.264969962380243	0.000582980368739094	0.0565722312832089	-0.274831449928205	30.9927357738524	12.9732716088755	12.5976379428857	0.0027691567515107
Bacteroides	tiller	0.0337698694062754	0.666754189164626	0.00534666641900996	2.43382737495355	26.7472218004113	0.279416253535389	0.220990475310514	0.774598052091515
Geothrix	tiller	0.255226572833226	0.000938007944476499	0.0637398808479738	11.2864735966371	22.8338694118897	0.406983038240715	0.37132044954796	0.00396047798778966
Microbacterium	tiller	-0.0398112251627013	0.61166508160899	0.000236376117507419	0.546833705231402	27.241038748924	0.340567848263674	0.281075749914602	0.749783003262633
Aeromonas	tiller	-0.111723665742342	0.1530953220765	0.0212468240325807	-0.97190481508067	28.4421016184167	1.04416489701183	0.667809741004788	0.29088111194535
Bradyrhizobium	tiller	-0.0412941762661141	0.598453679638528	0.0157100928474468	-0.763436093702477	29.288882886741	2.43846233473177	2.18776082679378	0.749783003262633
Sideroxydans	tiller	0.269832973205849	0.000456676397173441	0.058434398735698	0.913340480110578	23.8768148867238	3.88733218100562	3.42902307132698	0.0027691567515107
Exiguobacterium	tiller	-0.219009166110327	0.00470992883511496	0.0350767566288413	-0.899781567469639	28.2551559451612	0.920093551390055	0.341022916740005	0.0127840925524549
Anaeromyxobacter	tiller	0.296726491865038	0.000108802793922374	0.0667650283324877	0.735602414503492	23.830028398883	4.89020190454077	4.29930265310966	0.00149876667381475
Mycobacterium	tiller	0.0645097089904424	0.410393968685853	0.00733595600674977	2.52454052319683	25.945752889383	0.586847319057363	0.536910013881673	0.577591511483793
Tolumonas	tiller	-0.278398017822047	0.000293750562233173	0.0248768568452607	-1.36970759304203	27.9501797939306	0.381765472655727	0.148024506937369	0.00223250427297211
Pelomonas	tiller	0.193418239636568	0.0128043208193601	0.0531120460746005	2.85698103761773	23.2101331107104	1.47608246643415	1.35922304092535	0.0270313439519824
Pleomorphomonas	tiller	-0.206019316039621	0.00793580476902527	0.059062249483708	-2.80312701251828	30.1302650903331	0.964277519708997	0.78825318692364	0.018847536326435
Ralstonia	tiller	-0.267084837692588	0.000524540936227906	0.0712974032907257	-0.36518907409877	32.288732301378	13.3121714720041	12.6033334556657	0.0027691567515107
Acidovorax	tiller	-0.107536666861175	0.169186529480832	0.0182107028752051	-0.764902001140529	29.2288341468426	2.35528396694429	1.9101905224027	0.306147053346267
Ensifer	tiller	0.0116044263822015	0.882395388346045	0.00122250744758699	-0.48564834863565	27.7409933214407	0.645983034945673	0.497037128673512	0.906243912355398
Herbaspirillum	tiller	0.0331326012294034	0.672677255763684	0.000299018387510589	-0.209162345721896	27.5921086660023	0.788076544851463	0.584112500067513	0.774598052091515
Nocardioides	tiller	0.0997986012837272	0.20217581101652	0.0151655537849071	4.64255092845535	25.3211840686581	0.453649015610345	0.434932237557389	0.34921276448308
