Filter,GroupID,Bacteria,Genotype,RelativeExpressionLevels
R2567,D27_Mock,Mock,D27,1.08
R2567,D27_Mock,Mock,D27,0.86
R2567,D27_Mock,Mock,D27,1.16
R2567,D27_Mock,Mock,D27,0.93
R2567,D17_Mock,Mock,D17,0.69
R2567,D17_Mock,Mock,D17,1.17
R2567,D17_Mock,Mock,D17,1.21
R2567,D17_Mock,Mock,D17,1.02
R2567,D10_Mock,Mock,D10,1.16
R2567,D10_Mock,Mock,D10,0.91
R2567,D10_Mock,Mock,D10,1.29
R2567,D10_Mock,Mock,D10,0.74
R2567,OS900_Mock,Mock,OS900,1
R2567,OS900_Mock,Mock,OS900,0.96
R2567,OS900_Mock,Mock,OS900,1.06
R2567,OS900_Mock,Mock,OS900,0.98
R2567,OS1400_Mock,Mock,OS1400,1.13
R2567,OS1400_Mock,Mock,OS1400,1.23
R2567,OS1400_Mock,Mock,OS1400,0.87
R2567,OS1400_Mock,Mock,OS1400,0.82
R2567,D27_R2567,R2567,D27,1.96
R2567,D27_R2567,R2567,D27,1.92
R2567,D27_R2567,R2567,D27,1.47
R2567,D27_R2567,R2567,D27,1.77
R2567,D17_R2567,R2567,D17,1.67
R2567,D17_R2567,R2567,D17,1.43
R2567,D17_R2567,R2567,D17,1.24
R2567,D17_R2567,R2567,D17,1.27
R2567,D10_R2567,R2567,D10,1.19
R2567,D10_R2567,R2567,D10,1.34
R2567,D10_R2567,R2567,D10,1.25
R2567,D10_R2567,R2567,D10,0.88
R2567,OS900_R2567,R2567,OS900,1.84
R2567,OS900_R2567,R2567,OS900,2.07
R2567,OS900_R2567,R2567,OS900,1.86
R2567,OS900_R2567,R2567,OS900,1.81
R2567,OS1400_R2567,R2567,OS1400,1.64
R2567,OS1400_R2567,R2567,OS1400,2.03
R2567,OS1400_R2567,R2567,OS1400,1.43
R2567,OS1400_R2567,R2567,OS1400,1.71
R780,D27_Mock,Mock,D27,1.18
R780,D27_Mock,Mock,D27,0.82
R780,D27_Mock,Mock,D27,1.08
R780,D27_Mock,Mock,D27,0.95
R780,D17_Mock,Mock,D17,1.38
R780,D17_Mock,Mock,D17,0.78
R780,D17_Mock,Mock,D17,0.89
R780,D17_Mock,Mock,D17,1.05
R780,D10_Mock,Mock,D10,0.76
R780,D10_Mock,Mock,D10,1.19
R780,D10_Mock,Mock,D10,1.19
R780,D10_Mock,Mock,D10,0.97
R780,OS900_Mock,Mock,OS900,1.02
R780,OS900_Mock,Mock,OS900,1.01
R780,OS900_Mock,Mock,OS900,0.97
R780,OS900_Mock,Mock,OS900,1
R780,OS1400_Mock,Mock,OS1400,1.15
R780,OS1400_Mock,Mock,OS1400,1.12
R780,OS1400_Mock,Mock,OS1400,1.11
R780,OS1400_Mock,Mock,OS1400,0.7
R780,D27_R780,R780,D27,0.53
R780,D27_R780,R780,D27,0.5
R780,D27_R780,R780,D27,0.38
R780,D27_R780,R780,D27,0.34
R780,D17_R780,R780,D17,1.32
R780,D17_R780,R780,D17,1.31
R780,D17_R780,R780,D17,1.28
R780,D17_R780,R780,D17,0.73
R780,D10_R780,R780,D10,0.5
R780,D10_R780,R780,D10,0.49
R780,D10_R780,R780,D10,0.28
R780,D10_R780,R780,D10,0.66
R780,OS900_R780,R780,OS900,1.14
R780,OS900_R780,R780,OS900,1.09
R780,OS900_R780,R780,OS900,0.86
R780,OS900_R780,R780,OS900,1.06
R780,OS1400_R780,R780,OS1400,1.01
R780,OS1400_R780,R780,OS1400,1.32
R780,OS1400_R780,R780,OS1400,1.27
R780,OS1400_R780,R780,OS1400,0.98
