group2,method,p,pAsterisk,padjFDR,padjFDRAsterisk
D10_R780,T-test,0.00655728816684169,**,0.0163932204171042,*
D17_R780,T-test,0.513066327104959,,0.587763728118623,
D27_R780,T-test,0.00168082181974328,**,0.0084041090987164,**
OS1400_R780,T-test,0.401832549974327,,0.587763728118623,
OS900_R780,T-test,0.587763728118623,,0.587763728118623,
