SampleID	GroupID	AdjustTillerNumber	Genotype	Bacteria
Nip_GF_1_1	Nip_GF	4	Nip	GF
Nip_GF_1_2	Nip_GF	4	Nip	GF
Nip_GF_1_3	Nip_GF	5	Nip	GF
Nip_GF_1_4	Nip_GF	4	Nip	GF
Nip_GF_1_5	Nip_GF	5	Nip	GF
Nip_GF_2_1	Nip_GF	4	Nip	GF
Nip_GF_2_2	Nip_GF	3	Nip	GF
Nip_GF_2_3	Nip_GF	4	Nip	GF
Nip_GF_2_4	Nip_GF	3	Nip	GF
Nip_GF_2_5	Nip_GF	4	Nip	GF
Nip_GF_3_1	Nip_GF	3	Nip	GF
Nip_GF_3_2	Nip_GF	4	Nip	GF
Nip_GF_3_3	Nip_GF	3	Nip	GF
Nip_GF_3_4	Nip_GF	3	Nip	GF
Nip_GF_3_5	Nip_GF	5	Nip	GF
Nip_GF_4_1	Nip_GF	4	Nip	GF
Nip_GF_4_2	Nip_GF	3	Nip	GF
Nip_GF_4_3	Nip_GF	4	Nip	GF
Nip_GF_4_4	Nip_GF	4	Nip	GF
Nip_GF_4_5	Nip_GF	3	Nip	GF
Nip_GF_5_1	Nip_GF	5	Nip	GF
Nip_GF_5_2	Nip_GF	4	Nip	GF
Nip_GF_5_3	Nip_GF	3	Nip	GF
Nip_GF_5_4	Nip_GF	3	Nip	GF
Nip_GF_5_5	Nip_GF	4	Nip	GF
Nip_R1405_1_1	Nip_R1405	2	Nip	R1405
Nip_R1405_1_2	Nip_R1405	4	Nip	R1405
Nip_R1405_1_3	Nip_R1405	3	Nip	R1405
Nip_R1405_1_4	Nip_R1405	3	Nip	R1405
Nip_R1405_1_5	Nip_R1405	3	Nip	R1405
Nip_R1405_2_1	Nip_R1405	3	Nip	R1405
Nip_R1405_2_2	Nip_R1405	4	Nip	R1405
Nip_R1405_2_3	Nip_R1405	4	Nip	R1405
Nip_R1405_2_4	Nip_R1405	3	Nip	R1405
Nip_R1405_2_5	Nip_R1405	3	Nip	R1405
Nip_R1405_3_1	Nip_R1405	4	Nip	R1405
Nip_R1405_3_2	Nip_R1405	4	Nip	R1405
Nip_R1405_3_3	Nip_R1405	3	Nip	R1405
Nip_R1405_3_4	Nip_R1405	2	Nip	R1405
Nip_R1405_3_5	Nip_R1405	3	Nip	R1405
Nip_R2488_1_1	Nip_R2488	1	Nip	R2488
Nip_R2488_1_2	Nip_R2488	1	Nip	R2488
Nip_R2488_1_3	Nip_R2488	1	Nip	R2488
Nip_R2488_1_4	Nip_R2488	1	Nip	R2488
Nip_R2488_2_1	Nip_R2488	1	Nip	R2488
Nip_R2488_2_2	Nip_R2488	1	Nip	R2488
Nip_R2488_2_3	Nip_R2488	1	Nip	R2488
Nip_R2488_3_1	Nip_R2488	3	Nip	R2488
Nip_R2488_3_2	Nip_R2488	2	Nip	R2488
Nip_R2488_3_3	Nip_R2488	2	Nip	R2488
Nip_R2488_3_4	Nip_R2488	3	Nip	R2488
Nip_R2488_3_5	Nip_R2488	2	Nip	R2488
Nip_R2567_1_1	Nip_R2567	2	Nip	R2567
