group2,method,p,pAsterisk,padjFDR,padjFDRAsterisk
Nip_Mock,Wilcoxon,0.00978931026540513,**,0.0489465513270256,*
d14_Mock,Wilcoxon,0.254376895065335,,0.423961491775558,
d53_Mock,Wilcoxon,0.96631563126221,,0.96631563126221,
d10_R780,Wilcoxon,0.242573572626374,,0.423961491775558,
d17_Mock,Wilcoxon,0.530857518533372,,0.758367883619103,
Nip_Mock,Wilcoxon,0.000397181996597443,***,0.00397181996597443,**
d14_Mock,Wilcoxon,0.736530279498604,,0.875187162177612,
d53_Mock,Wilcoxon,0.166725588120473,,0.423961491775558,
d10_Mock,Wilcoxon,0.787668445959851,,0.875187162177612,
d17_Mock,Wilcoxon,0.195991959375449,,0.423961491775558,
