group2,method,p,padjFDR,pAsterisk,padjFDRAsterisk
d10_R2567,T-test,0.704211288792976,0.802402294602279,,
d10_R780,T-test,0.802402294602279,0.802402294602279,,
d10_rac-GR24,T-test,0.0160996142709745,0.0482988428129236,*,*
d14_R2567,T-test,0.0686657353319362,0.205997205995809,,
d14_R780,T-test,0.482545110331799,0.723817665497699,,
d14_rac-GR24,T-test,0.953323997199067,0.953323997199067,,
d17_R2567,T-test,0.758736085397519,0.758736085397519,,
d17_R780,T-test,0.197734753867029,0.296602130800543,,
d17_rac-GR24,T-test,0.00637391777063065,0.019121753311892,**,*
d53_R2567,T-test,0.4825451103318,0.4825451103318,,
d53_R780,T-test,0.475629677974728,0.4825451103318,,
d53_rac-GR24,T-test,0.183503419072274,0.4825451103318,,
Nip_R2567,T-test,0.0335655106741003,0.0335655106741003,*,*
Nip_R780,T-test,0.0279590901716531,0.0335655106741003,*,*
Nip_rac-GR24,T-test,0.0148053439184601,0.0335655106741003,*,*
