group2,method,p,pAsterisk,padjFDR,padjFDRAsterisk
D10_R2567,T-test,0.413315335421283,,0.413315335421283,
D17_R2567,T-test,0.049678588614017,*,0.0620982357675212,
D27_R2567,T-test,0.00197512595126211,**,0.00493781487815528,**
OS1400_R2567,T-test,0.00547035792927483,**,0.00911726321545805,**
OS900_R2567,T-test,0.000202072327020626,***,0.00101036163510313,**
