GroupID,Bacteria,Genotype,N,RelativeExpressionLevels,sd,se,ci
D10_Mock,Mock,D10,4,1.025,0.246914290122436,0.123457145061218,0.392895735160949
D17_Mock,Mock,D17,4,1.0225,0.236273147014213,0.118136573507107,0.375963301876569
D27_Mock,Mock,D27,4,1.0075,0.136961065027012,0.0684805325135058,0.217935617681467
OS1400_Mock,Mock,OS1400,4,1.0125,0.198725103262438,0.099362551631219,0.316215985322335
OS900_Mock,Mock,OS900,4,1,0.0432049379893858,0.0216024689946929,0.0687486976371662
D10_R2567,R2567,D10,4,1.165,0.199749843554382,0.0998749217771909,0.31784657580032
D17_R2567,R2567,D17,4,1.4025,0.196871362400257,0.0984356812001285,0.313266269943434
D27_R2567,R2567,D27,4,1.78,0.222261107708929,0.111130553854464,0.353667020518272
OS1400_R2567,R2567,OS1400,4,1.7025,0.248646335183127,0.124323167591564,0.395651805362939
OS900_R2567,R2567,OS900,4,1.895,0.118462370959446,0.0592311854797228,0.188500067387518
