GroupID,N,TillerNumber,sd,se,ci
Nip_Mock,24,5.20833333333333,0.658005330140078,0.134314775572898,0.277851282680603
Nip_R780,24,5.79166666666667,0.832970935693524,0.170029480251483,0.351732778317825
GroupID,N,TillerNumber,sd,se,ci
d14_Mock,24,9.58333333333333,1.88625846969411,0.385030897812801,0.796497097006929
d14_R780,24,10.1666666666667,1.83366268451417,0.374294828120144,0.774287844731225
GroupID,N,TillerNumber,sd,se,ci
d53_Mock,24,9.29166666666667,1.68055805086252,0.343042475644953,0.709637427939924
d53_R780,24,9.29166666666667,1.39810948960642,0.285387904506563,0.590369860579047
GroupID,N,TillerNumber,sd,se,ci
d10_Mock,24,19.0833333333333,2.26344613494492,0.462024007574151,0.955769479464576
d10_R780,24,18.375,2.56756524831363,0.524102061639232,1.08418771844631
GroupID,N,TillerNumber,sd,se,ci
d17_Mock,24,9.375,1.34528160943932,0.274604458623039,0.568062603185552
d17_R780,24,9.04166666666667,1.33446509937476,0.272396547751717,0.563495191558464
GroupID,N,TillerNumber,sd,se,ci
Nip_Mock,24,5.20833333333333,0.658005330140078,0.134314775572898,0.277851282680603
Nip_R2567,23,4.43478260869565,0.66237087637185,0.138113875175147,0.286430646029597
GroupID,N,TillerNumber,sd,se,ci
d14_Mock,24,9.58333333333333,1.88625846969411,0.385030897812801,0.796497097006929
d14_R2567,24,9.66666666666667,1.23944821757828,0.253001307972407,0.523373081183093
GroupID,N,TillerNumber,sd,se,ci
d53_Mock,24,9.29166666666667,1.68055805086252,0.343042475644953,0.709637427939924
d53_R2567,24,8.79166666666667,1.2150922908826,0.24802967525432,0.513088475324614
GroupID,N,TillerNumber,sd,se,ci
d10_Mock,24,18.4166666666667,2.60295261555807,0.531325477730011,1.09913049311572
d10_R2567,23,18.6086956521739,1.85224999379827,0.386220822144067,0.800972961308331
GroupID,N,TillerNumber,sd,se,ci
d17_Mock,24,9.375,1.34528160943932,0.274604458623039,0.568062603185552
d17_R2567,24,8.91666666666667,1.52989532653215,0.312288575822703,0.64601813902256
GroupID,N,TillerNumber,sd,se,ci
Nip_Mock,24,5.20833333333333,0.658005330140078,0.134314775572898,0.277851282680603
Nip_R780,24,5.79166666666667,0.832970935693524,0.170029480251483,0.351732778317825
GroupID,N,TillerNumber,sd,se,ci
d14_Mock,24,9.58333333333333,1.88625846969411,0.385030897812801,0.796497097006929
d14_R780,24,10.1666666666667,1.83366268451417,0.374294828120144,0.774287844731225
GroupID,N,TillerNumber,sd,se,ci
d53_Mock,24,9.29166666666667,1.68055805086252,0.343042475644953,0.709637427939924
d53_R780,24,9.29166666666667,1.39810948960642,0.285387904506563,0.590369860579047
GroupID,N,TillerNumber,sd,se,ci
d10_Mock,24,19.0833333333333,2.26344613494492,0.462024007574151,0.955769479464576
d10_R780,24,18.375,2.56756524831363,0.524102061639232,1.08418771844631
GroupID,N,TillerNumber,sd,se,ci
d17_Mock,24,9.375,1.34528160943932,0.274604458623039,0.568062603185552
d17_R780,24,9.04166666666667,1.33446509937476,0.272396547751717,0.563495191558464
GroupID,N,TillerNumber,sd,se,ci
Nip_Mock,24,5.20833333333333,0.658005330140078,0.134314775572898,0.277851282680603
Nip_R2567,23,4.43478260869565,0.66237087637185,0.138113875175147,0.286430646029597
GroupID,N,TillerNumber,sd,se,ci
d14_Mock,24,9.58333333333333,1.88625846969411,0.385030897812801,0.796497097006929
d14_R2567,24,9.66666666666667,1.23944821757828,0.253001307972407,0.523373081183093
GroupID,N,TillerNumber,sd,se,ci
d53_Mock,24,9.29166666666667,1.68055805086252,0.343042475644953,0.709637427939924
d53_R2567,24,8.79166666666667,1.2150922908826,0.24802967525432,0.513088475324614
GroupID,N,TillerNumber,sd,se,ci
d10_Mock,24,18.4166666666667,2.60295261555807,0.531325477730011,1.09913049311572
d10_R2567,23,18.6086956521739,1.85224999379827,0.386220822144067,0.800972961308331
GroupID,N,TillerNumber,sd,se,ci
d17_Mock,24,9.375,1.34528160943932,0.274604458623039,0.568062603185552
d17_R2567,24,8.91666666666667,1.52989532653215,0.312288575822703,0.64601813902256
GroupID,N,TillerNumber,sd,se,ci
Nip_Mock,24,5.20833333333333,0.658005330140078,0.134314775572898,0.277851282680603
Nip_R780,24,5.79166666666667,0.832970935693524,0.170029480251483,0.351732778317825
GroupID,N,TillerNumber,sd,se,ci
d14_Mock,24,9.58333333333333,1.88625846969411,0.385030897812801,0.796497097006929
d14_R780,24,10.1666666666667,1.83366268451417,0.374294828120144,0.774287844731225
GroupID,N,TillerNumber,sd,se,ci
d53_Mock,24,9.29166666666667,1.68055805086252,0.343042475644953,0.709637427939924
d53_R780,24,9.29166666666667,1.39810948960642,0.285387904506563,0.590369860579047
GroupID,N,TillerNumber,sd,se,ci
d10_Mock,24,19.0833333333333,2.26344613494492,0.462024007574151,0.955769479464576
d10_R780,24,18.375,2.56756524831363,0.524102061639232,1.08418771844631
GroupID,N,TillerNumber,sd,se,ci
d17_Mock,24,9.375,1.34528160943932,0.274604458623039,0.568062603185552
d17_R780,24,9.04166666666667,1.33446509937476,0.272396547751717,0.563495191558464
GroupID,N,TillerNumber,sd,se,ci
Nip_Mock,24,5.20833333333333,0.658005330140078,0.134314775572898,0.277851282680603
Nip_R2567,23,4.43478260869565,0.66237087637185,0.138113875175147,0.286430646029597
GroupID,N,TillerNumber,sd,se,ci
d14_Mock,24,9.58333333333333,1.88625846969411,0.385030897812801,0.796497097006929
d14_R2567,24,9.66666666666667,1.23944821757828,0.253001307972407,0.523373081183093
GroupID,N,TillerNumber,sd,se,ci
