group2,method,p,padjFDR,pAsterisk,padjFDRAsterisk
R2567,T-test,0.0134454683586725,0.0436171718890121,*,*
R1405,T-test,0.283296803125637,0.424945204688455,,
R2488,T-test,0.574225301493598,0.689070361792317,,
R780,T-test,0.0145390572963374,0.0436171718890121,*,*
R2828,T-test,0.693936435225455,0.693936435225455,,
R1801,T-test,0.282977832202707,0.424945204688455,,
